infer_instructive_input,infer_instructive_pred
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with the situation. There's no right or wrong answers, we're interested in how many different problems you can identify and the variety of issues you consider. Try to think outside the box and consider as many potential problems as possible. The scenario is: Planning a birthday party for a 5-year-old.","Planning a birthday party for a 5-year-old can be a fun but challenging task. Here are as many potential problems or issues as I can think of, covering a wide range of considerations:

### 1. **Guest List Issues**
   - Disagreements over who to invite (e.g., family vs. friends, schoolmates).
   - Over-inviting, leading to space or budget constraints.
   - Excluding certain children (e.g., from daycare or school) causing hurt feelings.
   - Last-minute cancellations or no-shows.

### 2. **Venue and Space Problems**
   - Indoor vs. outdoor: weather risks (rain, heat, wind) for outdoor parties.
   - Space limitations (too small for the number of guests or activities).
   - Noise complaints from neighbors (especially if at home).
   - Venue availability or double-booking.
   - Accessibility issues for guests with disabilities.

### 3. **Budget Constraints**
   - Overspending on decorations, food, or entertainment.
   - Unexpected costs (e.g., renting tables, last-minute supplies).
   - Pressure to ""keep up"" with extravagant parties others have thrown.

### 4. **Food and Allergy Concerns**
   - Food allergies or dietary restrictions (e.g., nuts, dairy, gluten).
   - Picky eaters or children refusing to eat provided food.
   - Running out of food or drink.
   - Food safety (e.g., keeping perishables at the right temperature).

### 5. **Entertainment and Activities**
   - Activities not engaging enough (bored children).
   - Overstimulation or chaos from too many activities.
   - Entertainment cancellations (e.g., clown, magician no-shows).
   - Age-inappropriate games or themes.
   - Safety risks with certain activities (e.g., bounce houses, face paint allergies).

### 6. **Timing and Schedule**
   - Party too long (young children may tire or melt down).
   - Bad timing (e.g., conflicting with nap times or meal times).
   - Delays in food, cake, or activities causing restlessness.

### 7. **Behavioral Issues**
   - Tantrums or fights between children.
   - Shy or overwhelmed child (birthday kid or guests).
   - Parents not supervising their children adequately.
   - Sibling rivalry (if the birthday child has siblings).

### 8. **Decorations and Theme**
   - Theme too complex or not appealing to "
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with the situation. There's no right or wrong answers, we're interested in how many different problems you can identify and the variety of issues you consider. Try to think outside the box and consider as many potential problems as possible. The scenario is: Organizing a cross-country road trip.","Organizing a cross-country road trip is an exciting but complex endeavor that can involve numerous potential problems. Here are as many issues as I can think of, categorized for clarity:

### **1. Planning & Logistics**  
- **Route Selection:** Choosing the best route (scenic vs. fastest, avoiding construction, tolls, or unsafe areas).  
- **Time Management:** Underestimating travel time, leading to rushed or exhausting days.  
- **Overambitious Itinerary:** Trying to cover too many destinations, leading to burnout.  
- **Weather Delays:** Unpredictable conditions (snow, floods, extreme heat) disrupting plans.  
- **Border Crossings (if applicable):** Visa issues, customs delays, or documentation problems.  

### **2. Vehicle & Mechanical Issues**  
- **Breakdowns:** Car trouble in remote areas with no cell service or nearby mechanics.  
- **Flat Tires:** Lack of a spare or proper tools to change it.  
- **Fuel Shortages:** Running out of gas in rural areas with few stations.  
- **Oil/Engine Problems:** Overheating or other mechanical failures from long driving.  
- **Towing & Repairs:** High costs or long waits for repairs in unfamiliar places.  

### **3. Financial Problems**  
- **Budget Overruns:** Unexpected costs (hotels, food, emergencies).  
- **Gas Price Fluctuations:** Sudden spikes increasing trip costs.  
- **Parking Fees:** Expensive or hard-to-find parking in cities.  
- **Tolls & Road Fees:** Unplanned expenses on certain highways.  

### **4. Accommodation & Lodging**  
- **No Vacancy:** Popular areas booked up, forcing expensive or unsafe alternatives.  
- **Cancellations:** Pre-booked stays falling through last minute.  
- **Safety Concerns:** Staying in sketchy motels or unsafe areas.  
- **Camping Issues:** Bad weather, wildlife encounters, or lack of permits.  

### **5. Health & Safety Concerns**  
- **Fatigue & Exhaustion:** Long drives leading to drowsy or unsafe driving.  
- **Food Poisoning:** Eating at questionable roadside stops.  
- **Injuries:** Accidents while hiking, swimming, or other activities.  
- **Medical Emergencies:** Lack of nearby hospitals or pharmacies.  
- **Wildlife Hazards:** Animal collisions (deer, moose) or dangerous encounters.  

"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with the situation. There's no right or wrong answers, we're interested in how many different problems you can identify and the variety of issues you consider. Try to think outside the box and consider as many potential problems as possible. The scenario is: Preparing a holiday dinner for a large family.","Preparing a holiday dinner for a large family is a complex task with many potential problems. Here are as many issues as I can think of, categorized for clarity:

### **1. Planning and Logistics**  
- Underestimating the number of guests (last-minute additions).  
- Overestimating food quantities, leading to waste.  
- Not accounting for dietary restrictions (vegan, gluten-free, allergies).  
- Poor timing (some dishes ready too early or too late).  
- Running out of seating or table space.  
- Not having enough serving dishes or utensils.  
- Forgetting key ingredients or supplies (e.g., oven mitts, foil).  
- Miscommunication on who is bringing what (duplicates or missing items).  

### **2. Cooking Challenges**  
- Oven/stove space limitations (too many dishes, not enough burners).  
- Food not cooking evenly or on time.  
- Overcooking or burning dishes due to distractions.  
- Running out of fuel (propane for grill, gas for stove).  
- Power outage or appliance malfunction (oven breaks).  
- Lack of kitchen tools (e.g., only one mixer, no sharp knives).  
- Inexperienced cooks helping (ruining dishes).  

### **3. Food Safety & Quality**  
- Food poisoning from improper storage (leaving perishables out too long).  
- Cross-contamination (raw meat near veggies).  
- Not thawing frozen meat in time.  
- Overcooking turkey/dry meat.  
- Undercooking food (salmonella risk).  
- Leftovers not stored properly.  

### **4. Guest-Related Issues**  
- Family conflicts or arguments during dinner.  
- Uninvited guests showing up.  
- Kids running around causing accidents (spills, burns).  
- Pets getting into food or causing messes.  
- Guests arriving late, delaying dinner.  
- Picky eaters refusing to eat anything.  
- Alcohol-related issues (overconsumption, arguments).  

### **5. Cleanup & Post-Dinner Problems**  
- Not enough trash bags or containers for leftovers.  
- Broken dishes or spills (red wine on carpet).  
- Dishwasher overloaded or not working.  
- Guests leaving without helping clean.  
- Leftovers not distributed fairly.  

### **6. Financial & Stress Factors**  
- Going over budget on groceries.  
- Last-minute expensive purchases (forgotten items).  
- Host feeling overwhelmed"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with the situation. There's no right or wrong answers, we're interested in how many different problems you can identify and the variety of issues you consider. Try to think outside the box and consider as many potential problems as possible. The scenario is: Designing a new software product.","Designing a new software product is a complex process with many potential problems. Below is a comprehensive list of issues that could arise, categorized for clarity:

### **1. Technical Problems**  
- **Compatibility Issues**: The software may not work across different operating systems, devices, or browsers.  
- **Performance Bottlenecks**: Slow load times, crashes, or high resource usage.  
- **Scalability Limitations**: The system may not handle increasing user loads or data volumes.  
- **Integration Challenges**: Difficulties connecting with third-party APIs, databases, or legacy systems.  
- **Security Vulnerabilities**: Bugs, weak encryption, or susceptibility to hacking/data breaches.  
- **Data Loss or Corruption**: Poor database design leading to lost or corrupted data.  
- **Network Dependency**: Offline functionality may be lacking.  
- **Real-Time Processing Issues**: Delays in live updates or synchronization problems.  

### **2. User Experience (UX) & Design Problems**  
- **Poor UI/UX Design**: Confusing navigation, unintuitive workflows, or accessibility barriers.  
- **Feature Overload**: Too many unnecessary features making the software overwhelming.  
- **Lack of User Testing**: Assumptions about user needs leading to a poor product-market fit.  
- **Inconsistent Design**: Non-uniform UI elements across different screens.  
- **Slow Onboarding**: Users struggle to understand how to use the software.  

### **3. Development & Management Problems**  
- **Scope Creep**: Uncontrolled feature additions delaying the project.  
- **Poor Requirement Gathering**: Misunderstood client or user needs.  
- **Unrealistic Deadlines**: Rushed development leading to bugs or incomplete features.  
- **Team Collaboration Issues**: Miscommunication between developers, designers, and stakeholders.  
- **Technical Debt**: Shortcuts taken now causing long-term maintenance problems.  
- **Lack of Documentation**: Future developers struggle to understand the codebase.  

### **4. Business & Market Problems**  
- **Competition**: Similar products may already exist, making differentiation hard.  
- **Monetization Challenges**: Unclear revenue model (subscription, ads, one-time purchase).  
- **Legal & Compliance Risks**: GDPR, HIPAA, or other regulatory violations.  
- **Intellectual Property Issues**: Potential copyright or patent infringements.  
- **Market Misalignment**: The product doesn’t solve a real user pain point.  

### **5. Maintenance & Future Growth Problems**  
- **"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with the situation. There's no right or wrong answers, we're interested in how many different problems you can identify and the variety of issues you consider. Try to think outside the box and consider as many potential problems as possible. The scenario is: Starting a new business.","Starting a new business is an exciting but complex endeavor that comes with numerous potential problems. Here’s a comprehensive list of issues that could arise, categorized for clarity:

### **1. Financial Problems**  
- Insufficient startup capital or cash flow shortages.  
- Difficulty securing funding (loans, investors, grants).  
- Unrealistic financial projections leading to overspending.  
- High operational costs (rent, salaries, utilities).  
- Unexpected expenses (legal fees, equipment repairs).  
- Poor pricing strategy leading to low profitability.  
- Late payments from clients/customers affecting liquidity.  
- Tax compliance issues or unexpected tax burdens.  

### **2. Market and Competition Issues**  
- Lack of market demand for the product/service.  
- Strong competition from established businesses.  
- Misunderstanding customer needs or preferences.  
- Difficulty differentiating from competitors.  
- Market saturation in the chosen industry.  
- Rapid changes in market trends making the business obsolete.  

### **3. Operational Challenges**  
- Supply chain disruptions or unreliable suppliers.  
- Inefficient business processes leading to wasted time/money.  
- Poor inventory management (overstocking or stockouts).  
- Technology failures (website crashes, POS system issues).  
- Difficulty scaling operations as the business grows.  
- Lack of standard operating procedures (SOPs) causing inconsistency.  

### **4. Legal and Regulatory Problems**  
- Failure to obtain necessary licenses and permits.  
- Non-compliance with industry regulations.  
- Intellectual property disputes (trademarks, copyrights).  
- Contract disputes with vendors, employees, or partners.  
- Liability risks (product liability, workplace accidents).  
- Data privacy and cybersecurity legal requirements.  

### **5. Human Resources and Management Issues**  
- Difficulty hiring skilled employees.  
- High employee turnover due to poor culture or low pay.  
- Conflicts among team members or leadership.  
- Lack of clear roles and responsibilities.  
- Burnout from overworking (especially for founders).  
- Poor leadership or lack of management experience.  
- Compliance with labor laws (overtime, benefits, discrimination).  

### **6. Marketing and Customer Acquisition**  
- Ineffective marketing strategy leading to low visibility.  
- High customer acquisition costs (CAC).  
- Negative reviews or poor reputation management.  
- Difficulty building brand awareness.  
- Inconsistent messaging confusing customers.  
- Over-reliance on a single marketing channel.  

### **7. Sales and Customer Retention"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with the situation. There's no right or wrong answers, we're interested in how many different problems you can identify and the variety of issues you consider. Try to think outside the box and consider as many potential problems as possible. The scenario is: Building a tree house.","Building a tree house is a fun and creative project, but it comes with many potential problems and challenges. Here’s a comprehensive list of issues that could arise:

### **1. Safety Concerns**  
- Structural instability leading to collapse.  
- Weak or rotten branches compromising the tree house’s support.  
- Poorly secured ladders or railings causing falls.  
- Sharp nails, screws, or splinters causing injuries.  
- Children or pets falling from heights.  
- Inadequate weight capacity leading to overloading.  

### **2. Legal and Regulatory Issues**  
- Violating local building codes or zoning laws.  
- Homeowners' association (HOA) restrictions.  
- Neighbor complaints about property lines or privacy.  
- Liability if someone gets injured on the tree house.  

### **3. Environmental and Tree Health Problems**  
- Damaging the tree by over-drilling or improper attachments.  
- Restricting tree growth with rigid structures.  
- Killing the tree due to excessive weight or girdling.  
- Attracting pests (termites, wasps, squirrels).  
- Blocking sunlight to plants below.  

### **4. Design and Construction Challenges**  
- Choosing the wrong tree (too thin, weak, or unstable).  
- Difficulty in leveling the platform on uneven branches.  
- Poor weatherproofing leading to leaks or rot.  
- Weak joints or insufficient bracing causing instability.  
- Running out of materials mid-project.  
- Lack of proper tools or skills for construction.  

### **5. Maintenance Issues**  
- Wood rot or termite damage over time.  
- Loose bolts or nails requiring regular tightening.  
- Weather damage (wind, rain, snow) weakening the structure.  
- Fading paint or warped wood needing refinishing.  

### **6. Accessibility and Usability Problems**  
- Ladder or steps being too steep or unsafe.  
- Limited space inside making it uncomfortable.  
- Poor ventilation or excessive heat inside.  
- Difficult entry/exit for younger children.  

### **7. Social and Neighborhood Issues**  
- Noise complaints from kids playing in the tree house.  
- Privacy concerns (tree house overlooking neighbors' yards).  
- Disputes over shared trees (if on a property line).  

### **8. Financial and Resource Constraints**  
- High cost of quality materials (wood, fasteners, roofing).  
- Unexpected expenses (reinforcements, permits, repairs).  
"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with the situation. There's no right or wrong answers, we're interested in how many different problems you can identify and the variety of issues you consider. Try to think outside the box and consider as many potential problems as possible. The scenario is: Living on Mars.","Living on Mars presents a multitude of challenges and potential problems across various domains. Here’s a comprehensive list of issues that could arise:

### **1. Environmental and Physical Challenges**  
- **Extreme Temperatures**: Mars has an average temperature of -80°F (-62°C), requiring constant thermal regulation.  
- **Thin Atmosphere**: The atmosphere is 96% CO₂ and lacks sufficient oxygen for breathing, necessitating artificial life support.  
- **Low Gravity (38% of Earth’s)**: Could lead to muscle atrophy, bone density loss, and long-term health issues.  
- **High Radiation Exposure**: Lack of a strong magnetic field increases cancer risks from cosmic and solar radiation.  
- **Dust Storms**: Global dust storms can last months, blocking sunlight and damaging equipment.  
- **No Liquid Water**: Water must be extracted from ice or recycled, posing sustainability challenges.  

### **2. Human Health and Biology**  
- **Psychological Stress**: Isolation, confinement, and distance from Earth could cause depression or anxiety.  
- **Reproductive Challenges**: Effects of low gravity on human reproduction and fetal development are unknown.  
- **Limited Medical Care**: Emergency surgeries or treatments would be difficult without Earth’s infrastructure.  
- **Microbial Contamination**: Risk of Earth microbes contaminating Mars or unknown Martian pathogens affecting humans.  

### **3. Technological and Infrastructure Issues**  
- **Power Supply Dependence**: Solar power may be unreliable during dust storms; nuclear power poses risks.  
- **Equipment Failure**: Harsh conditions could lead to frequent malfunctions of life-support systems.  
- **Communication Delays**: Up to 22-minute lag each way makes real-time communication impossible.  
- **Construction Difficulties**: Building habitats requires advanced robotics or risky human labor in extreme conditions.  
- **Waste Management**: Recycling systems must be near-perfect to sustain long-term habitation.  

### **4. Sociopolitical and Ethical Concerns**  
- **Governance & Laws**: Who governs Mars? How are disputes resolved? Could lead to geopolitical conflicts.  
- **Resource Ownership**: Disputes over water, minerals, or territory between nations or private entities.  
- **Economic Viability**: High costs may limit colonization to only the wealthy or governments.  
- **Ethical Dilemmas**: Should we terraform Mars? What rights do Martian-born humans have?  

### **5. Food and Sustainability**  
- **Limited Agriculture**: Soil lacks nutrients; hydroponics/a"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with the situation. There's no right or wrong answers, we're interested in how many different problems you can identify and the variety of issues you consider. Try to think outside the box and consider as many potential problems as possible. The scenario is: Managing a team of remote employees.","Managing a team of remote employees presents a wide range of potential problems and challenges. Here are as many as I can think of, categorized for clarity:

### **Communication Challenges**  
1. **Time zone differences**: Difficulty scheduling meetings or collaborating in real-time.  
2. **Miscommunication**: Lack of nonverbal cues (body language, tone) leading to misunderstandings.  
3. **Over-reliance on written communication**: Important nuances may be lost in emails or chats.  
4. **Delayed responses**: Slower decision-making due to asynchronous communication.  
5. **Information silos**: Remote workers may miss out on informal updates or office chatter.  
6. **Technology barriers**: Poor internet, unfamiliar tools, or software issues disrupting communication.  

### **Team Cohesion & Culture Issues**  
7. **Lack of team bonding**: Fewer opportunities for informal interactions, leading to weaker relationships.  
8. **Feelings of isolation**: Employees may feel disconnected from the team or company.  
9. **Difficulty building trust**: Harder to establish rapport without face-to-face interactions.  
10. **Cultural differences**: Remote teams across regions may have varying work norms and expectations.  
11. **Inconsistent company culture**: Harder to maintain a unified culture when employees are dispersed.  

### **Productivity & Performance Concerns**  
12. **Monitoring productivity**: Difficulty assessing whether employees are working efficiently.  
13. **Overworking or burnout**: Blurred work-life boundaries leading to longer hours.  
14. **Distractions at home**: Employees may struggle with focus due to household interruptions.  
15. **Lack of accountability**: Some employees may slack off without direct supervision.  
16. **Unclear expectations**: Remote workers may not fully understand priorities without in-person guidance.  

### **Management & Leadership Challenges**  
17. **Difficulty providing feedback**: Harder to give constructive criticism without face-to-face interaction.  
18. **Bias in promotions/projects**: On-site employees may get more visibility and opportunities.  
19. **Micromanagement risk**: Managers may over-monitor remote workers, causing resentment.  
20. **Under-management risk**: Some managers may neglect remote employees, leading to disengagement.  
21. **Lack of spontaneous mentoring**: Fewer opportunities for organic learning and coaching.  

### **Technical & Operational Issues**  
22. **Cybersecurity risks**: Remote work increases vulnerability to data breaches.  
23. **IT support challenges**: Troubleshooting hardware/software issues remotely can be slow."
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with the situation. There's no right or wrong answers, we're interested in how many different problems you can identify and the variety of issues you consider. Try to think outside the box and consider as many potential problems as possible. The scenario is: Implementing a new school curriculum.","Implementing a new school curriculum is a complex process that can encounter a wide range of problems. Here are as many potential issues as I can identify, categorized for clarity:

### 1. **Resistance to Change**
   - Pushback from teachers who are comfortable with the old curriculum.
   - Resistance from students unfamiliar with new teaching methods.
   - Parents may oppose changes if they feel the new curriculum is untested or irrelevant.
   - Administrators or school boards may resist due to cost or ideological disagreements.

### 2. **Logistical Challenges**
   - Lack of time for teachers to adapt lesson plans or attend training.
   - Insufficient resources (e.g., textbooks, technology, materials) for the new curriculum.
   - Scheduling conflicts (e.g., fitting new subjects into existing timetables).
   - Inadequate infrastructure (e.g., labs, libraries, or tech support for new requirements).

### 3. **Training and Professional Development**
   - Teachers may lack proper training to deliver the new curriculum effectively.
   - Professional development sessions may be rushed or poorly designed.
   - Substitute teachers or new hires may not be familiar with the curriculum.
   - Ongoing support for teachers may be insufficient after rollout.

### 4. **Curriculum Design Flaws**
   - Content may be too advanced or not age-appropriate for students.
   - Gaps or overlaps with previous curriculum, leading to knowledge gaps.
   - Overemphasis on testing or rigid standards, reducing creativity.
   - Lack of alignment with real-world skills or higher education requirements.

### 5. **Equity and Accessibility Issues**
   - The new curriculum may not accommodate students with disabilities or learning differences.
   - Rural or underfunded schools may struggle to implement changes due to resource gaps.
   - Language barriers for non-native speakers if materials aren’t translated.
   - Socioeconomic disparities (e.g., students without home internet access may fall behind in digital-heavy curricula).

### 6. **Assessment and Evaluation Problems**
   - New grading systems may confuse students, parents, or colleges.
   - Standardized tests may not align with the new curriculum, affecting performance metrics.
   - Lack of clear benchmarks to measure the success of the new curriculum.
   - Teachers may struggle to assess student progress under new frameworks.

### 7. **Stakeholder Communication Issues**
   - Poor communication with parents about changes and their rationale.
   - Lack of collaboration with local communities or industry partners (for vocational curricula).
   - Misalignment between district, state,"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with the situation. There's no right or wrong answers, we're interested in how many different problems you can identify and the variety of issues you consider. Try to think outside the box and consider as many potential problems as possible. The scenario is: Running a half marathon.","Here’s a list of potential problems or issues that could arise when running a half marathon, categorized for clarity:

### **Physical Problems:**  
1. **Injury during training or race**: Sprains, strains, shin splints, stress fractures, or tendonitis.  
2. **Dehydration**: Insufficient water intake leading to dizziness, cramps, or heat exhaustion.  
3. **Overhydration (hyponatremia)**: Drinking too much water dilutes sodium levels, causing nausea or confusion.  
4. **Muscle cramps**: Due to electrolyte imbalance or fatigue.  
5. **Blisters or chafing**: From improper footwear or clothing.  
6. **Heatstroke or hypothermia**: Depending on weather conditions.  
7. **Gastrointestinal issues**: Stomach cramps, diarrhea, or vomiting due to pre-race nutrition.  
8. **Cardiac stress**: Risk of heart issues, especially for untrained runners.  
9. **Joint pain (knees, ankles, hips)**: From repetitive impact.  
10. **Exhaustion or collapse**: Pushing beyond physical limits.  

### **Logistical Problems:**  
11. **Late arrival**: Missing the start due to traffic or poor planning.  
12. **Race packet pickup issues**: Forgetting bib, timing chip, or required gear.  
13. **Course confusion**: Taking a wrong turn or missing markers.  
14. **Transportation problems**: Difficulty getting to/from the race location.  
15. **Gear malfunctions**: Broken shoelaces, faulty GPS watch, or headphones dying.  
16. **Crowding at aid stations**: Difficulty accessing water or nutrition.  
17. **Lost belongings**: Misplacing gear at bag check.  

### **Mental & Emotional Problems:**  
18. **Pre-race anxiety**: Nervousness affecting performance.  
19. **Hitting ""the wall""**: Sudden fatigue due to glycogen depletion.  
20. **Loss of motivation**: Mid-race mental fatigue or discouragement.  
21. **Overconfidence**: Starting too fast and burning out early.  
22. **Post-race blues**: Emotional drop after achieving the goal.  

### **Nutritional Problems:**  
23. **Poor pre-race meal**: Eating too much, too little, or the wrong foods.  
24. **Mid-race fueling mistakes**: Gels/sports drinks causing stomach upset.  
25. **Lack of electrolytes**: Leading to cramps or dizziness"
