tool_name,tool_use,score
paperclip,use to unlock door,2
paperclip,to unhook and scrape the ground around flowers,3
paperclip,Use as self locking anchor in stonework,3
paperclip,ornaments,4
paperclip,clip,1
paperclip,use to unlock door,3
paperclip,to unhook and scrape the ground around flowers,4
paperclip,Use as self locking anchor in stonework,3
paperclip,ornaments,4
paperclip,clip,1
box,Shelter,2
box,object head,2
box,football,4
box,football,4
box,as a spaceship,3
box,Shelter,2
box,object head,3
box,football,3
box,football,3
box,as a spaceship,5
bottle,water bottle,1
bottle,drink on it,1
bottle,paint stamp,3
bottle,use as flower pot,2
bottle,use multiple bottles to make a raft,3
bottle,water bottle,1
bottle,drink on it,1
bottle,paint stamp,3
bottle,use as flower pot,2
bottle,use multiple bottles to make a raft,4
bottle,water bottle,1
bottle,drink on it,1
bottle,paint stamp,3
bottle,use as flower pot,2
bottle,use multiple bottles to make a raft,4
spoon,a shovel,2
spoon,glue it on a fork,2
spoon,backscratcher,2
spoon,using it for drums,3
spoon,a shovel,2
spoon,glue it on a fork,3
spoon,backscratcher,2
spoon,using it for drums,3
spoon,a shovel,3
spoon,glue it on a fork,4
spoon,backscratcher,2
spoon,using it for drums,3
shovel,melt the metal and repurpose it,2
shovel,hit something,2
shovel,support,2
shovel,sit on it,4
shovel,a plow,3
shovel,melt the metal and repurpose it,4
shovel,hit something,1
shovel,support,2
shovel,sit on it,4
shovel,a plow,5
shovel,melt the metal and repurpose it,3
shovel,hit something,2
shovel,support,3
shovel,sit on it,4
shovel,a plow,1
pants,use fabric for different project,3
pants,cover up an open wound,3
pants,fill with air as a flotation device,4
pants,cut and make jewelry,4
pants,use them as a makeshift rope to tie something up,3
pants,use fabric for different project,4
pants,cover up an open wound,3
pants,fill with air as a flotation device,4
pants,cut and make jewelry,3
pants,use them as a makeshift rope to tie something up,2
pants,use fabric for different project,3
pants,cover up an open wound,3
pants,fill with air as a flotation device,4
pants,cut and make jewelry,4
pants,use them as a makeshift rope to tie something up,3
knife,prop for favorite teddy bear,3
knife,dig in gardens,2
knife,to try to get a door open,3
knife,prop for favorite teddy bear,3
knife,dig in gardens,2
knife,to try to get a door open,2
knife,prop for favorite teddy bear,3
knife,dig in gardens,2
knife,to try to get a door open,3
brick,Anchor,2
brick,something women can carry around as a rape weapon  instead of pepper spray,3
brick,buddy you can dress up,3
brick,putting under a chair leg so that the chair stands up right,2
brick,arm weight,2
brick,Anchor,2
brick,something women can carry around as a rape weapon  instead of pepper spray,3
brick,buddy you can dress up,2
brick,putting under a chair leg so that the chair stands up right,1
brick,arm weight,2
brick,Anchor,1
brick,something women can carry around as a rape weapon  instead of pepper spray,4
brick,buddy you can dress up,4
brick,putting under a chair leg so that the chair stands up right,2
brick,arm weight,2
tire,water tube,2
tire,to use for a swing,2
tire,roll it down hills for a game,1
tire,paint and put on wall as decorative,3
tire,water tube,2
tire,to use for a swing,3
tire,roll it down hills for a game,3
tire,paint and put on wall as decorative,4
tire,water tube,2
tire,to use for a swing,2
tire,roll it down hills for a game,2
tire,paint and put on wall as decorative,3
rope,making a necklace,2
rope,us it for tug of war,2
rope,erotic,4
rope,whipping someone with it,2
rope,Tie your dog to a tree or post,3
rope,making a necklace,2
rope,us it for tug of war,2
rope,erotic,3
rope,whipping someone with it,2
rope,Tie your dog to a tree or post,2
rope,making a necklace,2
rope,us it for tug of war,1
rope,erotic,1
rope,whipping someone with it,1
rope,Tie your dog to a tree or post,1
sock,put it on your feet,1
sock,a doll,3
sock,to use it like a backpack or store money in it,4
sock,put it on your feet,1
sock,a doll,3
sock,to use it like a backpack or store money in it,4
sock,put it on your feet,1
sock,a doll,3
sock,to use it like a backpack or store money in it,3
book,wrapping paper,2
book,smush something,2
book,as a doorstop,3
book,cover your head from the sun,2
book,backpack armor at school shooting,4
book,wrapping paper,3
book,smush something,2
book,as a doorstop,2
book,cover your head from the sun,2
book,backpack armor at school shooting,4
book,wrapping paper,4
book,smush something,2
book,as a doorstop,2
book,cover your head from the sun,2
book,backpack armor at school shooting,3
toothbrush,Use it for painting,2
toothbrush,use it to brush your hair,2
toothbrush,Use it for painting,3
toothbrush,use it to brush your hair,2
toothbrush,Use it for painting,3
toothbrush,use it to brush your hair,3
table,gather,3
table,use to start a fire,3
table,storing stuff on,1
table,bullet shield,4
table,putting objects,1
table,gather,1
table,use to start a fire,3
table,storing stuff on,1
table,bullet shield,3
table,putting objects,1
table,gather,2
table,use to start a fire,2
table,storing stuff on,1
table,bullet shield,3
table,putting objects,1
lightbulb,Painting it,2
lightbulb,Painting it,2
lightbulb,you can make it into a bee,4
lightbulb,You could use it as a trap for insects that bother you,4
lightbulb,as a firecracker,4
lightbulb,Painting it,4
lightbulb,Painting it,4
lightbulb,you can make it into a bee,5
lightbulb,You could use it as a trap for insects that bother you,5
lightbulb,as a firecracker,4
lightbulb,Painting it,3
lightbulb,Painting it,3
lightbulb,you can make it into a bee,4
lightbulb,You could use it as a trap for insects that bother you,4
lightbulb,as a firecracker,4
fork,as a toothpick,2
fork,fix things,2
fork,puncture,1
fork,use as,1
fork,barbie hair brush,3
fork,as a toothpick,2
fork,fix things,2
fork,puncture,2
fork,use as,1
fork,barbie hair brush,3
fork,as a toothpick,2
fork,fix things,3
fork,puncture,2
fork,use as,1
fork,barbie hair brush,3
pencil,A bow and arrow,3
pencil,draw on it,1
pencil,seesaw,3
pencil,Use it to type your keyboard keys,2
pencil,A surprising use for a pencil would be to make them trees,4
pencil,A bow and arrow,3
pencil,draw on it,2
pencil,seesaw,4
pencil,Use it to type your keyboard keys,2
pencil,A surprising use for a pencil would be to make them trees,5
pencil,A bow and arrow,2
pencil,draw on it,1
pencil,seesaw,2
pencil,Use it to type your keyboard keys,3
pencil,A surprising use for a pencil would be to make them trees,4
hat,to transform it into a foot spa,4
hat,you can make a hat turn into a bed for your pet by flipping it over where the head goes then put little blankets in the and put your pet in there,3
hat,to transform it into a foot spa,5
hat,you can make a hat turn into a bed for your pet by flipping it over where the head goes then put little blankets in the and put your pet in there,4
hat,to transform it into a foot spa,4
hat,you can make a hat turn into a bed for your pet by flipping it over where the head goes then put little blankets in the and put your pet in there,4
shoe,use as a hammer,2
shoe,hang several on the wall and use them to store or display smaller items,3
shoe,hit someone,2
shoe,to throw at someone,2
shoe,donate,3
shoe,use as a hammer,3
shoe,hang several on the wall and use them to store or display smaller items,4
shoe,hit someone,2
shoe,to throw at someone,2
shoe,donate,2
shoe,use as a hammer,3
shoe,hang several on the wall and use them to store or display smaller items,4
shoe,hit someone,1
shoe,to throw at someone,1
shoe,donate,1
ball,making it a monster,5
ball,to roll on it,1
ball,you can bounce it so high like a bounce ball,2
ball,you can attach more and more balls and you can make your favorite thing out of it and color it,4
ball,making it a monster,5
ball,to roll on it,2
ball,you can bounce it so high like a bounce ball,2
ball,you can attach more and more balls and you can make your favorite thing out of it and color it,4
ball,making it a monster,5
ball,to roll on it,1
ball,you can bounce it so high like a bounce ball,1
ball,you can attach more and more balls and you can make your favorite thing out of it and color it,4
