tool_1,tool_2,tool_3,tool_4,tool_5,demo_text,tool_name
water bottle,drink on it,paint stamp,use as flower pot,use multiple bottles to make a raft,	cute it in half and use it as a funnel. (Score: 3.0)<br>	to use it as a boat because it floats (Score: 3.3)<br>	to make musical sounds (Score: 3.7)<br>	utensil holder (Score: 3.0)<br>	you can hide small snacks with a bottle (Score: 2.7)<br>	a German Shepherd bottle (Score: 3.3)<br>	pour the water on yourself (Score: 1.6)<br>	make it into a sculpture (Score: 3.3)<br>	waterpark (Score: 3.3)<br>	to throw it at someone (Score: 2.1)<br>	contain liquid (Score: 1.0)<br>	a rocketship (Score: 3.2)<br>	bonk it on your head for relaxation (Score: 2.1)<br>	a rocket launcher (Score: 3.0)<br>	we could put small legos in it so we don't have to have those big containers (Score: 3.0)<br>	put flowers (Score: 2.5)<br>	storage (Score: 2.0)<br>	to measure things for cooking (Score: 2.8)<br>	to use a s a weapon iof need be (Score: 3.3)<br>	you could create a bottle with something else like a pencil holder. (Score: 3.0)<br>,bottle
use to unlock door,to unhook and scrape the ground around flowers,Use as self locking anchor in stonework,ornaments,clip,	to hold your hair back (Score: 2.2)<br>	Hold papers together. (Score: 1.0)<br>	open Xbox 360 tray when jammed (Score: 3.0)<br>	memo hanger (Score: 1.8)<br>	opening locks (Score: 2.3)<br>	pipe poker (Score: 2.2)<br>	pull hair back like a barrette  (Score: 2.5)<br>	color counters for children (Score: 2.7)<br>	itch yourself (Score: 3.0)<br>	use as a clothes pin if you lose a button (Score: 2.2)<br>	use as a clothes pin if you lose a button (Score: 2.2)<br>	clip rice bags to stay shut (Score: 2.3)<br>	ornament hanger (Score: 2.2)<br>	use as a zipper holder (Score: 2.8)<br>	Jewelry Clasp (Score: 2.5)<br>	heat up to burn a small area (Score: 3.2)<br>	affix a note to a bulletin board (Score: 1.5)<br>	to open a lock (Score: 2.0)<br>	Unfold it and make it into a ring (Score: 2.0)<br>	Hold a card to a curtain for display (Score: 2.2)<br>,paperclip
a shovel,To make it into a liquid if it is a metal spoon so I could make cool things like a small metal-looking soccer ball.,glue it on a fork,backscratcher,using it for drums,	Attach it on your face and become metal man (Score: 3.6)<br>	you can make it a lightning rod and a mini bowl. you can cut off the round part of the spoon where you eat the food in and use that as a bowl and the rod part as a lightning rod  (Score: 4.1)<br>	make it into a tree (Score: 3.6)<br>	Attach it on your face and become metal man (Score: 3.6)<br>	you could make it into a toy (Score: 2.7)<br>	by looking at it and see yourself like a mirror (Score: 2.4)<br>	A mold for a necklace pendant. (Score: 3.9)<br>	colorful spoon (Score: 1.9)<br>	Bend it and make clampers! (Score: 3.3)<br>	you can use the spoon to dig out dirt in your backyard (Score: 2.4)<br>	use it for science (Score: 2.7)<br>	You could make it loose and use it as a slingshot (Score: 2.4)<br>	we use a spoon for a soup or cereal (Score: 1.3)<br>	a wire (Score: 3.6)<br>	make a dress (Score: 4.1)<br>	Use the spoon to clean your dishes (Score: 3.6)<br>	you can use a spoon to make a homemade slingshot. (Score: 3.2)<br>	You can make a launcher with the spoon. (Score: 2.8)<br>	a marshmallow slingshot (Score: 2.7)<br>	make a rainbow spoon (Score: 2.4)<br>,spoon
melt the metal and repurpose it,hit something,support,sit on it,a plow,	knock things out of trees (Score: 2.3)<br>	scrape (Score: 2.0)<br>	dirt (Score: 1.0)<br>	as a weapon (Score: 3.0)<br>	use it to prop a door open (Score: 2.8)<br>	bird bath (Score: 3.8)<br>	hole digger (Score: 1.0)<br>	break through wall (Score: 2.5)<br>	use as a base to make a scarecrow (Score: 2.7)<br>	to hold up a flag (Score: 4.0)<br>	scrape ice (Score: 1.5)<br>	use to hold something up (Score: 2.3)<br>	scoop dog poop (Score: 1.5)<br>	golf club (Score: 4.2)<br>	broom (Score: 3.0)<br>	to hold up a flag (Score: 4.0)<br>	measuring tool (Score: 3.0)<br>	baseball bat (Score: 4.0)<br>	fill in (Score: 1.5)<br>	use as a weapon (Score: 3.0)<br>,shovel
use fabric for different project,cover up an open wound,fill with air as a flotation device,cut and make jewelry,use them as a makeshift rope to tie something up,"	wind tunnel flag (Score: 3.8)<br>	stop bleeding (Score: 2.7)<br>	use them to clean up a spill (Score: 2.2)<br>	cut off a leg, tie one end shut, use it as a sack (Score: 3.5)<br>	parachute (Score: 4.5)<br>	stuff for a scarecrow (Score: 2.3)<br>	cut into pieces for patches (Score: 2.3)<br>	as a torniquette (Score: 3.2)<br>	to give to charity (Score: 2.2)<br>	cut in to shorts (Score: 2.0)<br>	cut big parts to use for cleaning (Score: 2.3)<br>	cozy cozy (Score: 1.5)<br>	flower pot (Score: 4.0)<br>	to make costumes with it (Score: 2.5)<br>	covering my rear (Score: 1.0)<br>	cat bed (Score: 4.0)<br>	wall decor (Score: 3.5)<br>	cut in to headbands (Score: 2.7)<br>	if we tie the two ends of pants, i can be used to store mini objects in it (Score: 3.5)<br>	make scarecrow outfit (Score: 2.3)<br>",pants
prop for favorite teddy bear,dig in gardens,to try to get a door open,"playing games such as ""darts""",using it as a spoon or fork because you don't have one,	using a knife on different musical intruments (Score: 2.0)<br>	golf club for Barbie (Score: 4.7)<br>	hair holder (Score: 1.7000000000000002)<br>	shave someone's head (Score: 1.3)<br>	hunt (Score: 1.0)<br>	to open packages (Score: 1.3)<br>	to kill/ stab something (Score: 1.0)<br>	make it into a game and stick it in the floor and have people throw rings around it (Score: 2.7)<br>	to open a lock/locked door (Score: 1.2)<br>	2 shave (Score: 1.7000000000000002)<br>	carve wood (Score: 1.2)<br>	open CDs (Score: 1.7000000000000002)<br>	hair cutter (Score: 1.4)<br>	use as a thumbtack (Score: 1.7000000000000002)<br>	lint remover (Score: 2.3)<br>	used in the wilderness (Score: 1.0)<br>	spreading paint (Score: 2.0)<br>	cutting out wounds (Score: 1.3)<br>	earrings (Score: 2.5)<br>	cut long hair (Score: 1.7000000000000002)<br>,knife
Anchor,something women can carry around as a rape weapon  instead of pepper spray,buddy you can dress up,putting under a chair leg so that the chair stands up right ,arm weight,	put under a table leg to keep it sturdy (Score: 1.5)<br>	to brea (Score: 3.0)<br>	help build a house (Score: 1.2)<br>	prop something up (Score: 1.3)<br>	can be used in the place of a hammer when nailing nails into a wall (Score: 1.4)<br>	an anchor (Score: 2.0)<br>	use it to help cook  by pressing down meat  etc. (Score: 2.6)<br>	a dumbell (Score: 3.3)<br>	hammer a nail into something (Score: 1.8)<br>	weigh down something light (Score: 2.2)<br>	A paper weight (Score: 1.0)<br>	a place to do your nails (rest hands on there) (Score: 2.7)<br>	making snow people (Score: 2.0)<br>	paint on as a work of art (Score: 1.7000000000000002)<br>	training (Score: 2.3)<br>	Shelter (Score: 1.0)<br>	Make stacks to hold objects (Score: 2.5)<br>	put in pockets to make weight for wrestling (Score: 1.8)<br>	to hold a door with (Score: 1.7000000000000002)<br>	a can be used to play with in a game of toss (Score: 1.4)<br>,brick
Shelter,object head,football,football,as a spaceship,	present (Score: 1.0)<br>	capture a raccoon (Score: 1.3)<br>	repurpose the to make posters (Score: 2.1)<br>	You could use it to create a replica from a scene in a movie  play tv show  etc. (Score: 2.3)<br>	use as a stair (Score: 2.0)<br>	you could use it to hide inside inside of and scare someone when the walk by (Score: 2.2)<br>	to pee in (Score: 1.7000000000000002)<br>	Some people could find it interesting to make a hat out of it because the flaps could look like a ball cap and then you could decorate it as much as you wanted to (Score: 1.9)<br>	to bury a dead animal in (Score: 1.2)<br>	to build a fort with (Score: 1.7000000000000002)<br>	carry things (Score: 1.0)<br>	capture a small animal (Score: 1.8)<br>	candy (Score: 1.3)<br>	Sit on it (Score: 1.0)<br>	housing (Score: 1.2)<br>	place to hold a bunch of junk (Score: 1.0)<br>	make things higher (place it under something) (Score: 2.0)<br>	weight lifting (Score: 2.7)<br>	laundry basket (Score: 1.7000000000000002)<br>	Bookshelf (Score: 1.6)<br>,box
garden frame for veggie's,water tube,to use for a swing,roll it down hills for a game,paint and put on wall as decorative,	recycle (Score: 2.0)<br>	burn (Score: 2.8)<br>	to use for atvs (Score: 1.5)<br>	pore concrete in middle to hold a basketball goal (Score: 4.0)<br>	recycle (Score: 2.0)<br>	make tire swings (Score: 2.3)<br>	throw a bal (Score: 2.3)<br>	throw a bal (Score: 2.3)<br>	punching tool for boxers (Score: 3.0)<br>	barricade (Score: 2.8)<br>	flatten things (Score: 2.8)<br>	use it for an art project or as an object in a photograph (Score: 3.0)<br>	plant box/ container (Score: 3.5)<br>	to melt down and use the materials (Score: 2.3)<br>	children game by running with tire (Score: 2.0)<br>	to use for atvs (Score: 1.5)<br>	make a car move (Score: 1.0)<br>	use to carry water (Score: 3.2)<br>	ride on (Score: 1.5)<br>	use on your car (Score: 1.0)<br>,tire
making a necklace,us it for tug of war,erotic,whipping someone with it,Tie your dog to a tree or post,	shaped into letters to make a sign (Score: 2.4)<br>	tinder (Score: 1.6)<br>	shelves (Score: 4.0)<br>	giant worm (Score: 2.1)<br>	using it to make a bridge (Score: 1.9)<br>	a leash (Score: 1.0)<br>	to dry your clothes on (Score: 1.6)<br>	DNA strand (Score: 3.6)<br>	hang up items in the air (Score: 1.3)<br>	picture frame holder (Score: 2.1)<br>	Wrap it around your waist  leg or arm as an accessory (Score: 1.3)<br>	tying knot (Score: 1.2)<br>	secure door locks (Score: 3.0)<br>	A bad hair piece (Score: 3.7)<br>	a shoestring (Score: 1.7000000000000002)<br>	purse string (Score: 1.9)<br>	tie someone up (Score: 1.3)<br>	strong (Score: 1.0)<br>	to bind (Score: 1.0)<br>	make it into a lasso (Score: 1.3)<br>,rope
put it on your feet,put eyes on it and now you have a puppet.,a doll,put eyes on it and now you have a puppet.,to use it like a backpack or store money in it,"	making little snowmen (Score: 3.6)<br>	Tear it and make it into confetti. (Score: 4.1)<br>	Putting a coin into the sock for every time you lose in a video game, and once you fill the sock you'll have a weapon (Score: 3.0)<br>	you can make a dress for your doll (Score: 3.3)<br>	To make the sock as a glove (Score: 2.7)<br>	a prank object to get brother to wake up! (Score: 3.6)<br>	You can tie a sock to make a ball (Score: 2.7)<br>	rainbow socks (Score: 2.1)<br>	you can make it a softball (Score: 2.7)<br>	using it as gloves. (Score: 2.7)<br>	making a small baby pillow for your stuffed animals. (Score: 2.7)<br>	we could fill the sock with raw rice, tie it up, and draw a cute animal face on it. (Score: 3.0)<br>	we could fill the sock with raw rice, tie it up, and draw a cute animal face on it. (Score: 3.0)<br>	so you don't get your feet dirty (Score: 1.6)<br>	A popsicle holder. (Score: 3.6)<br>	it can be a mask (Score: 3.6)<br>	you could use it for ASMR (Score: 4.4)<br>	Use it like mittens (Score: 2.4)<br>	Put it for a cat (Score: 3.0)<br>	you can make it a softball (Score: 2.7)<br>",sock
