infer_basic_input,infer_basic_pred
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Planning a birthday party for a 5-year-old.","When planning a birthday party for a 5-year-old, numerous potential issues may arise. Below is a structured list of problems to consider:

### **Guest List & Communication**  
1. **RSVP Challenges**: Late or no responses, leading to uncertainty about attendance numbers.  
2. **Contact Information**: Difficulty reaching parents of the child’s friends.  
3. **Age Mix**: Conflicts if guests vary widely in age (e.g., toddlers vs. older siblings).  

### **Health & Safety**  
4. **Allergies**: Unaddressed food allergies (nuts, dairy, gluten) or environmental allergies (latex balloons, pollen).  
5. **Safety Hazards**: Choking risks (small toys), tripping hazards, or unsafe play areas (e.g., pools, bounce houses).  
6. **Supervision**: Insufficient adult-to-child ratios for monitoring activities.  

### **Logistics & Location**  
7. **Space Constraints**: Overcrowding if hosting at home.  
8. **Weather Risks**: Outdoor plans disrupted by rain, heat, or wind.  
9. **Parking/Transportation**: Limited parking or traffic issues at the venue.  

### **Budget & Supplies**  
10. **Cost Overruns**: Overspending on decorations, food, or entertainment.  
11. **Supply Shortages**: Last-minute unavailability of themed items (e.g., plates, favors).  

### **Activities & Entertainment**  
12. **Boredom**: Age-inappropriate games or activities leading to disengagement.  
13. **Entertainment No-Shows**: Clown, magician, or rental services canceling last-minute.  
14. **Meltdowns**: Overstimulation or fatigue causing tantrums (birthday child or guests).  

### **Food & Cake**  
15. **Picky Eaters**: Limited food options leading to uneaten meals.  
16. **Cake Issues**: Allergenic ingredients, size mismatches, or mishaps (e.g., melting, collapsing).  

### **Social Dynamics**  
17. **Gift Conflicts**: Jealousy during gift-opening or disappointment over presents.  
18. **Sibling Inclusion**: Pressure to invite siblings, increasing costs and chaos.  
19. **Cultural Sensitivities**: Dietary/religious restrictions or families who don’t celebrate birthdays.  

### **Timing & Scheduling**  
20. **Nap Times**: Cranky children if the party overlaps with usual rest periods.  
21."
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Organizing a cross-country road trip.","When organizing a cross-country road trip, numerous potential problems can arise across various categories. Below is a structured list of these issues:

### **1. Route & Navigation**
- Poorly researched routes leading to delays or getting lost.
- Road closures, construction, or detours.
- Over-reliance on GPS without offline backups or paper maps.
- Unfamiliar traffic laws or signage in different regions.
- Time zone changes causing scheduling confusion.

### **2. Vehicle Issues**
- Mechanical breakdowns (e.g., engine failure, tire blowouts).
- Lack of spare tires, tools, or emergency kits.
- Unsuitable vehicle for terrain (e.g., mountains, deserts).
- Fuel shortages or incorrect fuel type in remote areas.
- Overheating or lack of maintenance during the trip.

### **3. Accommodation & Budget**
- Overbooked or unsafe lodging, especially in peak seasons.
- Budget overruns due to unplanned expenses (e.g., repairs, tolls).
- Hidden costs like parking fees or seasonal price hikes.
- Difficulty finding pet-friendly or accessible accommodations.

### **4. Health & Safety**
- Driver fatigue or drowsy driving leading to accidents.
- Medical emergencies without nearby healthcare facilities.
- Food poisoning or unavailability of dietary-specific meals.
- Exposure to extreme weather (heatwaves, snowstorms).
- Wildlife encounters (e.g., hitting animals, unsafe camping).

### **5. Legal & Documentation**
- Expired/invalid licenses, insurance, or vehicle registration.
- Border-crossing issues (visas, customs, pet quarantines).
- Unfamiliar traffic laws (e.g., toll systems, speed limits).
- Authorization requirements for minors traveling without parents.

### **6. Communication & Technology**
- Poor cell service in remote areas disrupting navigation.
- Device battery drain without charging options.
- Reliance on apps requiring internet connectivity.
- Language barriers in non-English-speaking regions.

### **7. Group Dynamics**
- Conflicts over route choices, budgets, or activities.
- Personality clashes in close quarters.
- Uneven distribution of responsibilities (driving, planning).
- Managing children’s needs (entertainment, safety).

### **8. Environmental & Weather**
- Natural disasters (floods, wildfires) blocking routes.
- Environmental hazards (landslides, avalanches).
- Improper waste disposal impacting ecosystems.
- Extreme temperatures affecting comfort/vehicle performance.

### **9. Logistics & Supplies**
- Overpacking/underpacking essential items.
- Spoilage of"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Preparing a holiday dinner for a large family.","Preparing a holiday dinner for a large family involves numerous potential challenges. Below is a categorized list of key issues that may arise:

### **1. Planning & Coordination**  
- **Dietary Restrictions/Allergies**: Unaccounted vegetarian, vegan, gluten-free, or nut-free needs.  
- **Menu Imbalance**: Lack of variety (e.g., too many sides, insufficient main dishes) or conflicting flavors.  
- **Potluck Chaos**: Overlap in dishes (e.g., multiple desserts) due to poor communication.  
- **Guest Count Uncertainty**: Last-minute RSVPs or cancellations affecting portion sizes.  

### **2. Timing & Logistics**  
- **Cooking Delays**: Turkey/roast taking longer than planned, delaying the entire meal.  
- **Oven/Appliance Overload**: Competing dishes requiring oven/stovetop space.  
- **Serving Temperature**: Cold dishes due to poor timing or inadequate warming tools.  
- **Transportation Issues**: Spills, temperature loss, or damage to dishes prepared off-site.  

### **3. Budget & Resources**  
- **High Costs**: Expensive ingredients (e.g., organic, specialty items) straining the budget.  
- **Inadequate Quantities**: Underestimating portions, leading to food shortages.  
- **Equipment Shortages**: Lack of pots, pans, serving platters, or utensils.  

### **4. Space & Setup**  
- **Crowded Kitchen**: Limited workspace for prep and cooking.  
- **Seating Arrangements**: Insufficient tables/chairs or awkward seating dynamics.  
- **Serving Area**: Buffet line bottlenecks or inadequate space for self-service.  

### **5. Food Safety & Health**  
- **Cross-Contamination**: Allergen exposure or improper handling of raw meats.  
- **Improper Storage**: Leftovers left at unsafe temperatures.  
- **Undercooked Meat**: Risk of foodborne illness (e.g., poultry).  

### **6. Social Dynamics**  
- **Family Conflicts**: Tensions over traditions, politics, or past grievances.  
- **Unmet Expectations**: Disappointment over menu changes or omitted traditions.  
- **Generational Differences**: Clashes between older and younger family members.  

### **7. Unexpected Issues**  
- **Appliance Failures**: Oven/stove malfunctioning mid-cooking.  
- **Weather Disruptions**: Travel delays for guests due to snow/rain"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Designing a new software product.","Designing a new software product involves numerous potential challenges across multiple domains. Below is a categorized list of **potential problems or issues** that may arise:

### **1. Planning & Requirements**
- **Unclear user needs**: Insufficient research leading to misaligned features.
- **Scope creep**: Uncontrolled expansion of project goals, causing delays/budget overruns.
- **Stakeholder misalignment**: Conflicting visions among investors, managers, or clients.
- **Inadequate risk assessment**: Failing to anticipate technical, financial, or market risks.

### **2. Technical Challenges**
- **Poor technology stack**: Choosing tools that limit scalability, performance, or maintainability.
- **Integration issues**: Compatibility problems with legacy systems or third-party APIs.
- **Security vulnerabilities**: Inadequate encryption, authentication, or data protection.
- **Performance bottlenecks**: Slow load times, high resource usage, or poor optimization.
- **Scalability limitations**: Inability to handle growing user bases or data volumes.
- **Deployment complexities**: Environment setup discrepancies (e.g., dev vs. production).

### **3. Team & Management**
- **Communication gaps**: Misalignment between developers, designers, and stakeholders.
- **Skill shortages**: Lack of expertise in critical areas (e.g., AI, UX, cybersecurity).
- **Unrealistic deadlines**: Rushed development leading to technical debt or bugs.
- **Project management flaws**: Misapplied methodologies (e.g., Agile vs. Waterfall).
- **Burnout & turnover**: Overwork causing team attrition or loss of key personnel.

### **4. User Experience (UX) & Design**
- **Poor usability**: Complex interfaces confusing end-users.
- **Inadequate accessibility**: Excluding users with disabilities (e.g., non-compliance with WCAG).
- **Insufficient testing**: Limited user feedback during prototyping/development.
- **Cultural/localization gaps**: Ignoring language, regional norms, or localization needs.

### **5. Legal & Compliance**
- **Regulatory non-compliance**: Violating GDPR, CCPA, HIPAA, or industry-specific laws.
- **Intellectual property risks**: Unlicensed use of patents, copyrighted code, or open-source components.
- **Ethical concerns**: Biases in AI algorithms or unethical data usage.

### **6. Financial & Resource Constraints**
- **Budget overruns**: Underestimating costs (development, licensing, cloud services).
- **Monetization strategy**: Poor pricing models (e.g., subscription vs. one-time purchase"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Starting a new business.","**Starting a New Business: Potential Problems and Issues**

1. **Financial Challenges**  
   - Insufficient startup capital or difficulty securing funding (loans, investors).  
   - Unstable cash flow due to delayed payments or irregular revenue.  
   - Underestimating operating costs (rent, salaries, utilities, marketing).  
   - Over-reliance on debt leading to high-interest burdens.  
   - Inaccurate financial projections or budgeting errors.  

2. **Market and Customer Risks**  
   - Poor market research leading to misalignment with customer needs.  
   - Overestimating demand or target market size.  
   - High customer acquisition costs.  
   - Difficulty building brand awareness in a saturated market.  
   - Negative reviews or poor customer service damaging reputation.  

3. **Legal and Regulatory Issues**  
   - Failure to obtain necessary licenses, permits, or certifications.  
   - Non-compliance with labor, safety, or industry-specific regulations.  
   - Intellectual property disputes (trademarks, patents, copyrights).  
   - Unfavorable contractual terms with suppliers, partners, or clients.  
   - Tax filing errors or penalties due to mismanagement.  

4. **Operational and Logistical Hurdles**  
   - Supply chain disruptions (delays, unreliable vendors, inventory shortages).  
   - Inefficient processes causing wasted time/resources.  
   - Technology failures (e.g., website crashes, cybersecurity breaches).  
   - Poor quality control leading to defective products/services.  
   - Scaling challenges (inability to meet sudden demand growth).  

5. **Human Resource Concerns**  
   - Difficulty attracting and retaining skilled employees.  
   - High turnover due to burnout or inadequate compensation.  
   - Conflicts among co-founders or team members.  
   - Lack of leadership experience or management skills.  
   - Compliance with labor laws (overtime, benefits, discrimination).  

6. **Strategic and Planning Pitfalls**  
   - Absence of a clear business model or value proposition.  
   - Rigid plans that fail to adapt to market changes.  
   - Overexpansion into unproven markets too quickly.  
   - Ignoring competitors’ strategies or innovations.  
   - Poor pricing strategy (undercutting profits or alienating customers).  

7. **External and Environmental Factors**  
   - Economic downturns reducing consumer spending.  
   - Political instability or regulatory changes (e.g., tariffs, taxes).  
   - Natural disasters"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Building a tree house.","Building a tree house involves numerous potential problems across various categories. Here’s a structured breakdown of the key issues:

### 1. **Tree Selection & Health**  
   - Weak, diseased, or immature trees unable to support weight.  
   - Tree species with brittle branches (e.g., poplar, willow).  
   - Proximity to power lines, property boundaries, or unstable soil.  
   - Damage to roots or bark during construction.  
   - Ignoring the tree’s growth patterns (e.g., lack of space for trunk/root expansion).  

### 2. **Design & Planning**  
   - Structural flaws due to inadequate engineering (e.g., uneven weight distribution).  
   - Overambitious designs exceeding the tree’s capacity.  
   - Failure to obtain permits or comply with local regulations.  
   - Overlooking future expansion needs.  

### 3. **Materials & Construction**  
   - Heavy or non-weather-resistant materials causing stress or decay.  
   - Toxic treated wood harming the tree or users.  
   - Improper fasteners (e.g., nails damaging the tree).  
   - Poor drainage, ventilation, or waterproofing leading to rot/mold.  
   - Tool shortages or unsafe tool use.  

### 4. **Safety Risks**  
   - Collapse from weak supports or poor load distribution.  
   - Falls due to unstable ladders, inadequate railings, or slippery surfaces.  
   - Protruding nails, sharp edges, or fire hazards from electrical wiring.  
   - Child supervision gaps.  

### 5. **Environmental & Wildlife Impact**  
   - Disturbing ecosystems (e.g., bird nests, root systems).  
   - Blocking sunlight to plants below or harming biodiversity.  
   - Non-eco-friendly materials or waste disposal.  

### 6. **Legal & Social Issues**  
   - Neighbor disputes over privacy, noise, or property lines.  
   - Liability for injuries or non-compliance with insurance policies.  
   - Violating historical/cultural site protections.  

### 7. **Logistical Challenges**  
   - Budget overruns from underestimated costs or professional fees.  
   - Weather delays, seasonal changes (e.g., snow load, wind).  
   - Poor accessibility (e.g., unsafe stairs, lack of disability access).  

### 8. **Maintenance & Longevity**  
   - Failure to adapt to tree growth or inspect for rot"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Living on Mars.","Living on Mars presents a multitude of challenges across various domains. Here's a structured breakdown of potential problems:

### **Environmental and Physical Challenges**
1. **Atmosphere and Temperature**  
   - Thin CO₂ atmosphere necessitates constant life support systems. Equipment failure could lead to suffocation or hypothermia due to extreme cold (-80°F average).  
   - Pressure differences require habitats to maintain Earth-like conditions; structural breaches could be fatal.

2. **Radiation Exposure**  
   - Lack of magnetic field exposes inhabitants to harmful solar/cosmic radiation, increasing cancer risks. Shielding solutions (e.g., underground habitats) may not fully mitigate long-term effects.

3. **Low Gravity (38% of Earth's)**  
   - Muscle atrophy, bone density loss, and cardiovascular issues. Uncertain effects on human reproduction and fetal development.

### **Resource Management**
4. **Water and Food Security**  
   - Reliance on extracting water from icy regolith, with risks of system failures. Toxic perchlorates in soil complicate agriculture, necessitating hydroponics or soil detoxification.  
   - Crop failures or supply chain disruptions could lead to starvation.

5. **Energy Production**  
   - Solar power inefficiency due to distance from the Sun and dust storms. Nuclear alternatives pose transport risks. Dust accumulation on panels reduces efficiency.

### **Technical and Infrastructure Risks**
6. **Technology Dependency**  
   - Life-critical systems (oxygen, heating, water) require redundancy. Failures could cascade into catastrophe.  
   - Harsh conditions (abrasive dust, temperature swings) accelerate equipment wear.

7. **Construction and Materials**  
   - Transporting materials from Earth is costly. Local regolith use requires untested processing methods. Dust infiltration risks machinery malfunctions.

### **Health and Medical Concerns**
8. **Medical Emergencies**  
   - Limited access to advanced care. Chronic conditions or emergencies (e.g., surgery) may become fatal without on-site expertise or supplies.

9. **Mental Health**  
   - Isolation, communication delays (3–22 minutes), and confinement stress. Interpersonal conflicts in small, isolated groups.  
   - ""Earth-out-of-view"" syndrome and monotony of Mars' landscape affecting morale.

### **Socioeconomic and Legal Issues**
10. **Governance and Law**  
    - Lack of clear legal frameworks for disputes, crime, or resource ownership. Jurisdiction conflicts between Earth and Mars.

11. **Economic Sustainability**  
    - High setup and maintenance costs"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Managing a team of remote employees.","Managing a remote team presents numerous challenges that can impact productivity, communication, and employee well-being. Below is a structured list of potential problems, categorized for clarity:

### **1. Communication Challenges**
- **Time Zone Differences**: Difficulty scheduling real-time meetings and collaboration.
- **Technology Reliance**: Dependence on unstable internet, software glitches, or inadequate tools.
- **Misinterpretation**: Lack of non-verbal cues (body language, tone) leading to misunderstandings.
- **Over- or Under-Communication**: Inconsistent updates or excessive meetings causing fatigue.

### **2. Productivity and Performance**
- **Monitoring Difficulties**: Balancing trust with accountability without micromanaging.
- **Distractions at Home**: Noise, family responsibilities, or lack of a dedicated workspace.
- **Burnout**: Blurred work-life boundaries leading to overwork and stress.
- **Variable Work Environments**: Inequitable access to ergonomic setups or reliable technology.

### **3. Team Dynamics and Culture**
- **Isolation and Loneliness**: Reduced social interaction affecting morale and mental health.
- **Weakened Collaboration**: Challenges in brainstorming, spontaneous discussions, or mentorship.
- **Trust Issues**: Perceptions of inequity or favoritism between remote and in-office teams.
- **Cultural/Language Barriers**: Misalignment in work styles or communication norms in global teams.

### **4. Security and Compliance**
- **Data Privacy Risks**: Unsecured networks or personal devices exposing sensitive information.
- **Regulatory Compliance**: Navigating varying labor laws, tax requirements, and insurance across regions.
- **Equipment Liability**: Responsibility for work-related injuries in home offices.

### **5. Operational and Managerial Issues**
- **Ineffective Onboarding/Training**: Difficulty integrating new hires remotely.
- **Performance Evaluation Bias**: Over-reliance on quantifiable metrics vs. qualitative contributions.
- **Resource Allocation**: Costs for stipends, software, or IT support for remote setups.
- **Documentation Gaps**: Poor knowledge-sharing practices hindering access to critical information.

### **6. Employee Well-being and Engagement**
- **Mental Health Struggles**: Increased risk of anxiety or depression due to isolation.
- **Career Development Barriers**: Limited visibility for promotions or skill-building opportunities.
- **Disengagement**: Lack of connection to company culture leading to higher turnover.

### **7. Technical and Logistical Barriers**
- **Tool Overload**: Confusion from using multiple platforms (Slack, Zoom, Trello).
- **Asynchronous Delays**: Project slowdowns"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Implementing a new school curriculum.","Implementing a new school curriculum can encounter numerous challenges. Below is a structured list of potential problems and issues that may arise:

### 1. **Curriculum Design Issues**  
   - Misalignment with educational standards or student developmental stages.  
   - Lack of inclusivity for diverse learning needs (e.g., disabilities, language barriers).  
   - Overly ambitious goals or content that is too complex for the target age group.  
   - Insufficient resources (e.g., outdated textbooks, inadequate technology).  

### 2. **Teacher Challenges**  
   - Resistance to change due to familiarity with the old curriculum.  
   - Inadequate training or professional development for effective delivery.  
   - Increased workload leading to burnout or demotivation.  
   - Variability in implementation quality due to inconsistent teacher buy-in.  

### 3. **Student Adaptation**  
   - Struggles with abrupt changes in teaching methods or content rigor.  
   - Gaps in foundational knowledge if the transition is poorly managed.  
   - Stress from new assessment formats (e.g., project-based vs. exam-based).  

### 4. **Parent/Community Concerns**  
   - Opposition due to poor communication about the curriculum’s purpose or benefits.  
   - Controversy over sensitive topics (e.g., race, gender, religion).  
   - Perceived irrelevance to local culture or community values.  

### 5. **Administrative and Logistical Hurdles**  
   - Unrealistic timelines for rollout without phased testing.  
   - Budget constraints affecting resource allocation or teacher training.  
   - Coordination challenges across grades, departments, or schools.  
   - Scheduling conflicts (e.g., extended class times, staffing adjustments).  

### 6. **Assessment and Accountability**  
   - Lack of alignment between new curriculum goals and existing evaluation tools.  
   - Pressure on teachers/staff due to premature performance metrics.  
   - Difficulty measuring long-term student outcomes.  

### 7. **Technology and Infrastructure**  
   - Insufficient access to devices, software, or reliable internet.  
   - Low digital literacy among teachers/students.  
   - Technical glitches disrupting classroom activities.  

### 8. **Equity and Access**  
   - Disparities in resource access (e.g., home internet, materials).  
   - Failure to accommodate students with disabilities or language barriers.  

### 9. **Sustainability and Longevity**  
   - Dependency on short-term funding or grants"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Running a half marathon.","When preparing for and running a half marathon, numerous potential problems can arise across various stages and aspects. Here’s an organized breakdown of these issues:

### **Training & Preparation**
1. **Inadequate Training**: Undertraining may lead to poor endurance or inability to finish; overtraining risks injuries (e.g., shin splints, stress fractures).
2. **Poor Training Plan**: Lack of structured progression, rest days, or speed/hill work.
3. **Injury Risk**: Muscle strains, joint pain, or chronic injuries from improper form or recovery.

### **Gear & Equipment**
4. **Inappropriate Footwear**: Blisters, plantar fasciitis, or discomfort from ill-fitting shoes.
5. **Clothing Issues**: Chafing due to non-breathable fabrics or untested race-day outfits.
6. **Equipment Malfunction**: GPS/watch battery failure, hydration pack leaks, or broken gear.

### **Nutrition & Hydration**
7. **Pre-Race Nutrition**: Poor carb-loading leading to energy depletion (""hitting the wall"").
8. **Hydration Imbalance**: Dehydration or hyponatremia from improper fluid intake.
9. **Mid-Race Fueling**: Gastrointestinal distress from untested gels/energy bars.

### **Health & Medical**
10. **Pre-Existing Conditions**: Asthma, heart issues, or diabetes flare-ups.
11. **Race-Day Emergencies**: Heatstroke, hypothermia, fainting, or cardiac events.
12. **Post-Race Recovery**: Delayed onset muscle soreness (DOMS) or injuries from inadequate cool-down.

### **Environmental Factors**
13. **Weather Extremes**: Heat exhaustion, sunburn, hypothermia, or slippery surfaces from rain.
14. **Altitude/Pollution**: Breathing difficulties at high elevations or in polluted areas.
15. **Allergies/Environmental Triggers**: Pollen, dust, or pollution exacerbating respiratory issues.

### **Logistical Challenges**
16. **Race-Day Logistics**: Late arrival due to traffic, parking issues, or unclear start times.
17. **Course Navigation**: Getting lost, poor pacing due to unfamiliar hills/turns, or overcrowding.
18. **Organizational Flaws**: Insufficient water stations, medical support, or baggage mishaps.

### **Psychological & Social**
19. **Mental Barriers**: Loss of motivation, anxiety, or negative self-talk during the race.
20. **Social Pressure**: Stress from comparisons with others or unmet time goals.
"
