infer_cot_input,infer_cot_pred
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. Let's think step by step. The scenario is: Planning a birthday party for a 5-year-old.","When planning a birthday party for a 5-year-old, numerous potential issues can arise across various aspects of the event. Here’s a structured breakdown of the key problems to anticipate:

### **1. Venue Challenges**  
- **Space limitations** (overcrowding, lack of play area).  
- **Weather risks** (rain/hot sun for outdoor parties).  
- **Safety hazards** (unsecured pools, sharp objects, or tripping risks).  
- **Parking/directions** (limited parking or unclear addresses).  

### **2. Guest Management**  
- **RSVP issues** (no-shows, late confirmations, or unexpected guests).  
- **Overwhelming attendance** (too many kids/parents causing chaos).  
- **Allergies/dietary restrictions** (unchecked food or decor allergens like nuts/latex).  
- **Sibling conflicts** (uninvited siblings or jealousy).  

### **3. Logistics & Timing**  
- **Nap/time conflicts** (cranky kids due to missed naps or late scheduling).  
- **Activity timing** (too long/short games leading to boredom or chaos).  
- **Cleanup constraints** (venue time limits or post-party mess).  

### **4. Food & Cake**  
- **Allergen exposure** (common triggers in cake/food).  
- **Picky eaters** (limited food options).  
- **Cake disasters** (damaged, late delivery, or uneven cutting).  

### **5. Entertainment & Activities**  
- **Age-inappropriate games** (too complex or boring).  
- **Entertainer cancellations** (clown/magician no-shows).  
- **Malfunctions** (piñata/bouncy castle failures).  

### **6. Safety & Health**  
- **Inadequate supervision** (kids wandering or arguing).  
- **Germ spread** (lack of hygiene supplies like sanitizer).  
- **Injuries** (no first-aid kit for scrapes/falls).  

### **7. Budget & Resources**  
- **Overspending** (venue, decorations, favors).  
- **Waste** (excessive food/goodie bags due to poor RSVP tracking).  

### **8. Gifts & Favors**  
- **Gift jealousy** (unequal presents or shyness during opening).  
- **Inappropriate favors** (ch"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. Let's think step by step. The scenario is: Organizing a cross-country road trip.","Organizing a cross-country road trip involves numerous potential challenges. Below is a categorized list of issues that may arise:

### **1. Route & Navigation**
- **Road Closures/Construction**: Unplanned detours due to accidents, weather, or maintenance.
- **Seasonal Road Closures**: Mountain passes or rural roads inaccessible in winter.
- **GPS Failures**: Poor signal in remote areas or outdated maps leading to errors.
- **Scenic Route Challenges**: Narrow, unpaved, or poorly marked roads unsuitable for certain vehicles.

### **2. Vehicle & Maintenance**
- **Breakdowns**: Mechanical failures in remote areas with limited repair services.
- **Tire Issues**: Flat tires without a spare or tools/knowledge to change them.
- **Fuel Shortages**: Running out of gas in areas with sparse stations.
- **Unsuitable Vehicle**: Inadequate for terrain (e.g., sedan on dirt roads).

### **3. Accommodations**
- **Overbooked Hotels**: No vacancies during peak seasons or events.
- **Camping Issues**: Weather ruining plans or campsites being full.
- **Safety Concerns**: Unsafe or unclean lodging options.

### **4. Packing & Supplies**
- **Essential Items Forgotten**: First aid kits, chargers, maps, or clothing.
- **Overpacking**: Limited space causing discomfort.
- **Food/Water Shortages**: Running out of supplies in remote regions.
- **Dietary Restrictions**: Difficulty finding suitable food options.

### **5. Health & Safety**
- **Medical Emergencies**: Limited access to healthcare facilities.
- **Accidents/Fatigue**: Risks from long drives or unfamiliar roads.
- **Personal Safety**: Theft, unsafe areas, or car break-ins at rest stops.
- **Altitude Sickness**: Health issues in high-elevation regions.

### **6. Legal & Documentation**
- **Invalid Licenses/Insurance**: Expired or non-compliant documents.
- **State/Country Laws**: Varying speed limits, toll systems, or border requirements (e.g., passports, visas).
- **Agricultural Restrictions**: Fines for transporting prohibited foods/plants across state lines.

### **7. Budgeting**
- **Unexpected Costs**: Repairs, medical bills, or price fluctuations.
- **Underestimating Expenses**: Fuel, food, lodging, or attraction fees.

### **8. Entertainment & Morale**
- **Boredom/Conflict**: Disagreements over music, stops, or itinerary.
"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. Let's think step by step. The scenario is: Preparing a holiday dinner for a large family.","When preparing a holiday dinner for a large family, numerous potential problems can arise. Below is a structured breakdown of these issues across key categories:

### **1. Planning & Coordination**
- **Portion Estimation**: Difficulty gauging quantities for a large group, risking shortages or excess waste.
- **Dietary Restrictions**: Unaccounted allergies, vegetarian/vegan needs, gluten-free requirements, or cultural/religious dietary laws.
- **Menu Conflicts**: Balancing traditional dishes with new preferences, leading to disagreements.
- **Timing Challenges**: Coordinating cooking times for multiple dishes to ensure all are ready simultaneously.
- **Last-Minute Changes**: Unexpected guests, dietary preference shifts, or ingredient substitutions.

### **2. Logistics & Resources**
- **Ingredient Availability**: Holiday shortages of key items (e.g., turkeys, specialty spices).
- **Budget Constraints**: High costs of bulk ingredients, decorations, or beverages.
- **Kitchen Space**: Limited oven/stovetop capacity, refrigerator storage, or counter space.
- **Equipment Shortages**: Insufficient pots, pans, serving dishes, or utensils.
- **Seating & Space**: Inadequate table size, chairs, or room for guests to mingle comfortably.

### **3. Execution & Safety**
- **Cooking Mishaps**: Burnt, undercooked, or failed dishes (e.g., dry turkey, collapsed desserts).
- **Appliance Failures**: Oven/stove malfunctions or power outages.
- **Food Safety Risks**: Cross-contamination, improper cooking temperatures, or leaving perishables unrefrigerated.
- **Physical Hazards**: Tripping in crowded kitchens, burns, or children near hot surfaces.

### **4. Social & Emotional Factors**
- **Family Dynamics**: Tensions between relatives, conflicting opinions on traditions, or unresolved disagreements.
- **Host Stress**: Overwhelm from multitasking, perfectionism, or lack of delegation.
- **Entertainment Gaps**: Boredom during delays, especially for children; insufficient activities or music.

### **5. Service & Cleanup**
- **Serving Challenges**: Keeping food warm, managing staggered dish readiness, or running out of servingware.
- **Beverage Management**: Insufficient drinks (alcoholic/non-alcoholic), overconsumption of alcohol, or ice shortages.
- **Leftovers & Waste**: Inadequate storage containers, fridge space, or disputes over taking leftovers home.
- **Cleanup Burden**: Lack of help for washing dishes, tidying, or trash"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. Let's think step by step. The scenario is: Designing a new software product.","Designing a new software product involves numerous potential challenges across various stages. Below is an organized list of key problems and issues that may arise:

### 1. **Requirements & Planning**
   - **Unclear Requirements**: Ambiguity in client needs or miscommunication between stakeholders.
   - **Stakeholder Conflicts**: Differing priorities among clients, developers, and end-users.
   - **Scope Creep**: Uncontrolled feature additions without timeline/budget adjustments.
   - **Inadequate Market Research**: Building a product without validating demand or user pain points.

### 2. **Technical Challenges**
   - **Technology Stack Risks**: Choosing unsuitable frameworks (too new, outdated, or unfamiliar to the team).
   - **Integration Issues**: Compatibility problems with existing systems or third-party APIs.
   - **Scalability Limitations**: Inability to handle growing user loads or data volumes.
   - **Technical Debt**: Poor coding practices or shortcuts leading to unmaintainable code.

### 3. **Design & Usability**
   - **Poor UX/UI Design**: Unintuitive interfaces or workflows discouraging user adoption.
   - **Accessibility Neglect**: Non-compliance with standards (e.g., WCAG), excluding users with disabilities.
   - **Localization Gaps**: Ignoring cultural, language, or regional formatting needs.

### 4. **Development & Testing**
   - **Inadequate Testing**: Insufficient test coverage, leading to undetected bugs.
   - **Environment Discrepancies**: Issues arising in different OS, devices, or browsers.
   - **Performance Bottlenecks**: Slow response times under real-world conditions.

### 5. **Deployment & Maintenance**
   - **Deployment Failures**: Server crashes, configuration errors, or failed migration.
   - **Post-Launch Bugs**: Critical issues emerging post-release due to inadequate testing.
   - **Update Challenges**: Rolling out patches without disrupting users.

### 6. **Security & Compliance**
   - **Vulnerabilities**: Security flaws (e.g., SQL injection, weak encryption) risking data breaches.
   - **Regulatory Non-Compliance**: Violating laws like GDPR, HIPAA, or CCPA.
   - **Third-Party Risks**: Dependence on external APIs/services with security gaps.

### 7. **Team & Management**
   - **Communication Gaps**: Remote team collaboration issues or skill mismatches.
   - **Poor Estimation**: Underestimating timelines, budgets, or resource needs.
   - **Burnout**:"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. Let's think step by step. The scenario is: Starting a new business.","Starting a new business presents numerous challenges. Below is a categorized list of potential problems or issues that may arise:

### **1. Financial Challenges**
- **Funding Shortages**: Difficulty securing initial capital, loans, or investor support.
- **Cash Flow Management**: Balancing income and expenses to avoid liquidity crises.
- **High Customer Acquisition Costs**: Struggling to profit if marketing expenses outweigh customer lifetime value.
- **Pricing Strategy**: Setting prices too high (limiting sales) or too low (reducing margins).
- **Economic Factors**: Inflation, recessions, or currency fluctuations impacting spending.

### **2. Market & Competition**
- **Lack of Market Demand**: Misjudging customer needs or market saturation.
- **Intense Competition**: Failing to differentiate from established competitors.
- **Product-Market Fit**: Developing a product/service that doesn’t resonate with the target audience.
- **Brand Awareness**: Difficulty building visibility and trust in a crowded market.

### **3. Operational Issues**
- **Supply Chain Risks**: Reliance on unreliable suppliers or logistics partners.
- **Scaling Challenges**: Expanding too quickly without infrastructure, leading to quality issues.
- **Inventory Management**: Overstocking/understocking products, leading to waste or lost sales.
- **Technology Integration**: Selecting and implementing effective IT systems/tools.

### **4. Legal & Regulatory**
- **Compliance**: Navigating industry-specific regulations (e.g., health, data privacy).
- **Licensing/Permits**: Delays in obtaining necessary approvals.
- **Intellectual Property**: Protecting trademarks, patents, or copyrights from infringement.
- **Contract Disputes**: Conflicts with clients, suppliers, or partners over agreements.

### **5. Human Resources**
- **Hiring Talent**: Attracting skilled employees with limited resources.
- **Retention & Culture**: Maintaining morale and preventing turnover; fostering a positive culture.
- **Training & Development**: Ensuring staff are adequately trained for their roles.
- **Leadership Gaps**: Founder burnout or lack of managerial experience.

### **6. Marketing & Sales**
- **Ineffective Strategies**: Poor ROI on advertising or social media efforts.
- **Customer Retention**: Failing to build loyalty or address complaints.
- **Reputation Management**: Handling negative reviews or PR crises.

### **7. Technology & Security**
- **Cybersecurity Threats**: Data breaches compromising customer trust.
- **Outdated Tools**: Inefficient software hindering productivity.
- **Technical Failures**: Website crashes, payment processing errors"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. Let's think step by step. The scenario is: Building a tree house.","**Potential Problems When Building a Tree House**  

1. **Tree Selection and Health**  
   - Weak or unstable tree species.  
   - Diseased, pest-infested, or decaying tree.  
   - Proximity to power lines or property boundaries.  
   - Tree growth causing structural damage over time.  

2. **Design and Structural Issues**  
   - Poor structural integrity (e.g., inadequate support beams).  
   - Unstable platform due to uneven ground or improper leveling.  
   - Overlooking tree growth (e.g., tight fittings damaging the tree).  
   - Unsafe access points (ladders, stairs).  

3. **Legal and Safety Concerns**  
   - Lack of permits or zoning violations.  
   - Homeowners’ association (HOA) restrictions.  
   - Liability risks (injuries, insurance coverage gaps).  
   - Non-compliance with safety standards (e.g., railings, sharp edges).  

4. **Construction Challenges**  
   - Inadequate tools/materials (e.g., untreated wood prone to rot).  
   - Weather delays (rain, wind) affecting progress.  
   - Working at height risks (falls, tool drops).  
   - Weight distribution imbalances stressing the tree.  

5. **Environmental Impact**  
   - Tree damage from nails/bolts (introducing disease).  
   - Disturbance to wildlife (birds, squirrels).  
   - Chemical leaching from treated wood into soil.  
   - Blocking sunlight to the tree/garden.  

6. **Social and Practical Issues**  
   - Neighbor complaints (noise, privacy, aesthetics).  
   - Family disagreements over design/use.  
   - Budget overruns or underestimating costs.  
   - Time management (unfinished projects, seasonal constraints).  

7. **Long-Term Maintenance**  
   - Rot, termites, or weather damage over time.  
   - Tree growth altering the structure.  
   - Need for periodic repairs/upkeep.  
   - Unused tree house becoming a liability (resale impact).  

8. **Additional Risks**  
   - Pests (wasps, bees) nesting in the structure.  
   - Fire hazards from electrical installations.  
   - Vandalism or theft during/building after construction.  
   - Storm damage due to poor anchoring.  

**Key Considerations**  
- Prioritize tree health and structural safety.  
- Research local regulations and neighbor concerns"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. Let's think step by step. The scenario is: Living on Mars.","Living on Mars presents numerous challenges across various domains. Here's a structured breakdown of potential problems:

### **1. Survival Essentials**  
- **Atmosphere & Oxygen**: No breathable air; reliance on artificial systems prone to failure.  
- **Water**: Extraction from ice requires energy and machinery; contamination or scarcity risks.  
- **Food**: Toxic soil (perchlorates) necessitates controlled agriculture; energy-intensive artificial lighting.  

### **2. Environmental Hazards**  
- **Radiation**: Lack of magnetic field exposes colonists to cancer-causing cosmic/solar radiation.  
- **Temperature**: Extreme cold (-80°F average); heating demands and infrastructure stress.  
- **Dust**: Abrasive Martian dust damages equipment, clogs systems, and reduces solar efficiency.  

### **3. Health Risks**  
- **Low Gravity**: Muscle atrophy, bone loss, cardiovascular issues; long-term effects on reproduction/development.  
- **Medical Emergencies**: Limited facilities; delays in Earth-based support for critical care.  
- **Mental Health**: Isolation, confinement, communication delays (20+ minutes), and interpersonal conflict.  

### **4. Infrastructure & Technology**  
- **Habitat Integrity**: Pressurization requirements; structural wear from dust/storms.  
- **Energy**: Solar reliance hindered by dust storms; nuclear risks.  
- **System Failures**: Life-support dependency with catastrophic failure risks; redundancy challenges.  

### **5. Logistics & Economics**  
- **Transportation**: Long travel times (6–9 months), radiation exposure, and costly resupply missions.  
- **Cost**: Massive upfront and ongoing investment; unclear funding models (governments vs. private).  
- **Self-Sufficiency**: Difficulty achieving closed-loop systems for air, water, and materials.  

### **6. Social & Legal Issues**  
- **Governance**: Lack of legal frameworks for ownership, laws, and conflict resolution.  
- **Ethics**: Planetary protection (contaminating Mars/Earth); colonization justification.  
- **Culture**: Social stratification, generational identity shifts, and potential independence movements.  

### **7. Unforeseen Challenges**  
- **Marsquakes**: Geological instability affecting habitats.  
- **Fire Risks**: High-oxygen environments complicating fire control.  
- **Ecological Impact**: Terraforming consequences or harm to potential native life.  

### **8. Long-Term Sustainability**  
- **Waste Management**: Recycling failures risking health crises.  
"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. Let's think step by step. The scenario is: Managing a team of remote employees.","Managing a remote team presents numerous challenges across various dimensions. Here’s a structured breakdown of potential problems:

1. **Communication Challenges**  
   - **Time Zone Differences**: Difficulty scheduling real-time meetings or collaboration.  
   - **Delayed Responses**: Asynchronous communication may slow decision-making.  
   - **Misinterpretation**: Lack of non-verbal cues (e.g., body language) in emails/chats leading to misunderstandings.  
   - **Over-reliance on Written Communication**: Tone and intent may be misread.  

2. **Collaboration and Technology Issues**  
   - **Tool Proficiency**: Inconsistent familiarity with collaboration tools (e.g., Slack, Zoom).  
   - **Technical Failures**: Unstable internet, software glitches, or hardware limitations disrupting workflows.  
   - **Security Risks**: Data breaches from unsecured networks or personal devices.  

3. **Productivity and Performance Management**  
   - **Monitoring Difficulties**: Balancing trust with accountability without micromanaging.  
   - **Variable Productivity**: Some employees may underperform due to distractions, while others overwork, risking burnout.  
   - **Unclear Metrics**: Subjective or inconsistent performance evaluation criteria.  

4. **Team Dynamics and Culture**  
   - **Isolation and Loneliness**: Reduced social interaction affecting mental health.  
   - **Weak Team Cohesion**: Struggles to build rapport and a shared culture.  
   - **Onboarding Hurdles**: New hires may feel disconnected or unsupported.  

5. **Work-Life Balance**  
   - **Blurred Boundaries**: Difficulty separating work from personal life, leading to burnout.  
   - **Home Distractions**: Family, noise, or household responsibilities interrupting focus.  

6. **Resource and Access Disparities**  
   - **Unequal Setups**: Some lack ergonomic workspaces or reliable technology.  
   - **Geographic Inequities**: Variations in benefits, pay, or legal compliance across regions.  

7. **Legal and Compliance Risks**  
   - **Jurisdictional Conflicts**: Differing labor laws, tax regulations, or data privacy rules (e.g., GDPR).  
   - **Contractual Ambiguities**: Misclassification of remote workers (e.g., freelancers vs. employees).  

8. **Employee Engagement and Development**  
   - **Reduced Motivation**: Feeling disconnected from company goals or peers.  
   - **Limited Visibility**: Career advancement opportunities may seem unclear.  
   - **Inadequate"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. Let's think step by step. The scenario is: Implementing a new school curriculum.","Implementing a new school curriculum presents numerous potential challenges. Below is a structured breakdown of the key issues that may arise:

### 1. **Teacher Readiness and Resistance**
   - **Training Gaps**: Insufficient or rushed training for educators on the new content and teaching methods.
   - **Resistance to Change**: Veteran teachers may resist abandoning familiar methods, leading to inconsistent implementation.
   - **Workload Increase**: Additional time required for lesson planning and adapting materials could cause burnout.

### 2. **Resource and Financial Constraints**
   - **Material Shortages**: Lack of updated textbooks, technology, or specialized tools (e.g., lab equipment).
   - **Budget Limitations**: Costs for new resources, training, or hiring specialists may exceed available funds.

### 3. **Student Adaptation Challenges**
   - **Learning Gaps**: Students may struggle with abrupt shifts in content difficulty or teaching styles.
   - **Diverse Needs**: Insufficient accommodations for students with disabilities, language barriers, or varied learning paces.
   - **Engagement Issues**: Curriculum might not resonate culturally or fail to engage different learning styles.

### 4. **Parental and Community Concerns**
   - **Communication Failures**: Poor explanation of changes could lead to distrust or opposition from parents.
   - **Perceived Experimentation**: Parents may view the curriculum as untested, fearing negative impacts on their children.

### 5. **Assessment and Evaluation**
   - **Misaligned Metrics**: Existing standardized tests may not reflect the new curriculum’s goals, skewing performance data.
   - **Grading Challenges**: Teachers may lack clear rubrics for evaluating student work under the new system.

### 6. **Logistical and Scheduling Conflicts**
   - **Time Management**: Adjusting class durations or subject priorities could disrupt schedules or extracurricular activities.
   - **Coordination Issues**: Poor alignment between grades/departments might create knowledge gaps for advancing students.

### 7. **Administrative and Policy Hurdles**
   - **Leadership Support**: Weak advocacy from administrators may hinder resource allocation or morale.
   - **Regulatory Compliance**: Curriculum might conflict with state/national standards, risking accreditation or funding.

### 8. **Long-Term Implementation Risks**
   - **Sustainability**: Initial enthusiasm may wane without ongoing support, reverting to old practices.
   - **Evaluation Delays**: Success metrics (e.g., college readiness) might take years to materialize, leading to premature judgments.

### 9. **Equity and Inclusion**
  "
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. Let's think step by step. The scenario is: Running a half marathon.","**Potential Problems and Issues When Running a Half Marathon**

1. **Training-Related Issues**  
   - **Inadequate Preparation**: Insufficient mileage or lack of structured training leading to poor endurance.  
   - **Overtraining**: Risk of injuries (e.g., shin splints, stress fractures) or burnout.  
   - **Time Management**: Difficulty balancing training with work, family, or other commitments.  
   - **Weather Challenges**: Extreme heat, cold, or rain disrupting training consistency.  

2. **Nutrition and Hydration**  
   - **Poor Carb-Loading**: ""Hitting the wall"" due to glycogen depletion.  
   - **Dehydration or Overhydration**: Leading to cramps, hyponatremia, or dizziness.  
   - **Gastrointestinal Distress**: From new foods, gels, or hydration strategies on race day.  

3. **Gear and Equipment**  
   - **Unfamiliar Footwear/Clothing**: Blisters, chafing, or discomfort from new shoes or attire.  
   - **Tech Failures**: Dead GPS watches, headphones, or fitness trackers.  

4. **Race Day Logistics**  
   - **Transportation Delays**: Traffic or parking issues causing late arrival.  
   - **Course Confusion**: Poor signage or unfamiliarity with the route.  
   - **Crowd Management**: Overcrowding at the start/finish or aid stations.  

5. **Health and Medical Risks**  
   - **Injuries**: Muscle strains, sprains, or falls during the race.  
   - **Heat-Related Illnesses**: Heat exhaustion or stroke in hot conditions.  
   - **Cardiovascular Events**: Rare but serious risks for those with undiagnosed conditions.  

6. **Mental Challenges**  
   - **Motivation Loss**: Mental fatigue or negative self-talk mid-race.  
   - **Unrealistic Goals**: Stress from failing to meet time targets.  

7. **Post-Race Issues**  
   - **Inadequate Recovery**: Soreness or injury from skipping cool-downs.  
   - **Refueling Mistakes**: Delayed muscle recovery or energy crashes.  
   - **Post-Race Blues**: Emotional letdown after achieving a major goal.  

8. **Organizational Flaws**  
   - **Poorly Stocked Aid Stations**: Lack of water, electrolytes, or nutrition.  
   - **Safety Shortcomings**: Insufficient medical support"
