infer_basic_input,infer_basic_pred
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Planning a birthday party for a 5-year-old.","Planning a birthday party for a 5-year-old can be a fun but challenging task. Here are many potential problems or issues that may arise:

### **1. Guest List and Invitations**  
- Forgetting to invite a close friend or family member, causing hurt feelings.  
- Parents not RSVPing, making it hard to plan for food/activities.  
- Miscommunication about the party details (time, location, dress code).  
- Last-minute cancellations or no-shows.  

### **2. Venue and Space Issues**  
- Indoor space being too small for the number of kids.  
- Outdoor party ruined by bad weather (rain, extreme heat).  
- Noise complaints from neighbors (if at home).  
- Venue restrictions (e.g., no outside food, limited time).  

### **3. Food and Allergies**  
- Not accommodating dietary restrictions (allergies, vegetarian, gluten-free).  
- Kids being picky eaters and not liking the food.  
- Running out of food or cake.  
- Food safety issues (e.g., leaving perishables out too long).  

### **4. Entertainment and Activities**  
- Activities being too complex for 5-year-olds.  
- Kids getting bored if there’s no structured plan.  
- Overstimulation leading to tantrums or meltdowns.  
- Entertainer (e.g., clown, magician) canceling last minute.  

### **5. Safety Concerns**  
- Kids running around unsupervised, leading to injuries.  
- Choking hazards (small toys, hard candy).  
- Allergic reactions (e.g., bee stings at an outdoor party).  
- Parents not staying to supervise their kids.  

### **6. Timing and Schedule**  
- Party running too long, causing kids to get tired/cranky.  
- Activities taking longer than planned, delaying cake/gifts.  
- Naptime conflicts (some kids may be sleepy).  

### **7. Gifts and Goodie Bags**  
- Child being upset if they don’t like certain gifts.  
- Forgetting thank-you notes.  
- Goodie bags being too expensive or containing choking hazards.  
- Parents feeling pressured to bring expensive gifts.  

### **8. Parent and Adult Dynamics**  
- Awkwardness between parents who don’t know each other.  
- Parents overstaying or not supervising their kids.  
- Disagreements over party rules (e"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Organizing a cross-country road trip.","Organizing a cross-country road trip can be an exciting but complex endeavor. Here are several potential problems or issues that may arise:

### **1. Planning and Logistics**  
- **Route Planning:** Choosing the best routes, accounting for road closures, construction, or traffic.  
- **Time Management:** Underestimating travel time, leading to rushed or exhausting days.  
- **Accommodation Issues:** Difficulty booking hotels or campsites, especially in peak seasons.  
- **Budget Overruns:** Unexpected expenses (e.g., tolls, parking fees, emergency repairs).  
- **Packing Challenges:** Overpacking or forgetting essential items (e.g., medications, chargers).  

### **2. Vehicle and Transportation**  
- **Breakdowns or Mechanical Failures:** Car trouble in remote areas with limited repair services.  
- **Fuel Availability:** Running low on gas in rural or desolate regions.  
- **Tire or Battery Issues:** Flat tires or dead batteries with no immediate help.  
- **Insurance & Documentation:** Forgetting necessary documents (e.g., driver’s license, registration, insurance).  
- **Rental Car Restrictions:** Mileage limits or prohibitions on off-road travel.  

### **3. Health and Safety**  
- **Fatigue & Driver Exhaustion:** Long hours behind the wheel leading to accidents.  
- **Medical Emergencies:** Lack of nearby hospitals or pharmacies in remote areas.  
- **Food & Water Scarcity:** Limited dining options in small towns or deserts.  
- **Weather Hazards:** Sudden storms, extreme heat, or snow affecting travel plans.  
- **Wildlife Encounters:** Collisions with animals or dangerous wildlife in certain regions.  

### **4. Navigation & Communication**  
- **GPS Failures:** Losing signal in remote or mountainous areas.  
- **Poor Cell Service:** Inability to call for help or check updates.  
- **Getting Lost:** Misreading maps or missing exits.  
- **Language Barriers:** Difficulty communicating in areas with different primary languages.  

### **5. Legal & Regulatory Issues**  
- **Traffic Laws:** Unfamiliarity with varying state/country speed limits or rules.  
- **Border Crossings (if applicable):** Visa/passport issues or delays.  
- **Toll Roads & Fines:** Unexpected tolls or traffic violations.  

### **6. Social & Group Dynamics**  
- **Disagreements Among Travel"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Preparing a holiday dinner for a large family.","Preparing a holiday dinner for a large family can be a complex task with many potential problems or issues. Here are some common ones that may arise:

### **1. Planning and Organization Issues**  
- **Underestimating the number of guests** – Leading to insufficient food or seating.  
- **Last-minute cancellations or additions** – Disrupting portion sizes and seating arrangements.  
- **Unclear dietary restrictions** – Some guests may have allergies, intolerances, or dietary preferences (vegan, gluten-free, etc.).  
- **Poor timing of dishes** – Some dishes may be ready too early or too late, leading to cold or overcooked food.  

### **2. Food-Related Problems**  
- **Running out of food** – Not preparing enough for everyone.  
- **Overcooking or undercooking dishes** – Especially meats (dry turkey, undercooked stuffing).  
- **Food safety concerns** – Improper storage leading to spoilage, cross-contamination, or foodborne illnesses.  
- **Specialty dish failures** – A key dish (e.g., pie, casserole) may not turn out as expected.  
- **Unappealing presentation** – Food may look messy or unappetizing.  

### **3. Kitchen and Equipment Challenges**  
- **Oven/stove space limitations** – Not enough room to cook all dishes simultaneously.  
- **Lack of necessary cookware** – Missing roasting pans, serving dishes, or utensils.  
- **Appliance malfunctions** – Oven breaks, blender stops working, etc.  
- **Insufficient refrigeration** – Not enough space to store prepped ingredients.  

### **4. Guest and Social Dynamics**  
- **Family conflicts or tension** – Arguments over traditions, politics, or past grievances.  
- **Unruly children** – Kids may be noisy, picky eaters, or disruptive.  
- **Unhelpful or overly opinionated guests** – Some may criticize the food or interfere with cooking.  
- **Late arrivals** – Delaying meal service.  

### **5. Logistics and Setup Problems**  
- **Inadequate seating** – Not enough chairs or table space.  
- **Poor table arrangement** – Awkward seating placements or cramped dining area.  
- **Lack of serving utensils** – Guests struggle to serve themselves.  
- **Running out of plates, glasses, or cutlery** – Especially if disposable items are not available"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Designing a new software product.","Designing a new software product involves numerous potential problems and challenges across various stages of development. Here are some common issues that may arise:

### 1. **Requirements and Planning**
   - Unclear or ambiguous requirements from stakeholders.
   - Scope creep (uncontrolled expansion of project scope).
   - Misalignment between business goals and technical feasibility.
   - Inadequate market research leading to irrelevant features.
   - Overestimation or underestimation of project timeline and resources.

### 2. **Technical Challenges**
   - Choosing the wrong technology stack for the project.
   - Scalability issues as the user base grows.
   - Performance bottlenecks (e.g., slow load times, high latency).
   - Integration problems with existing systems or third-party APIs.
   - Security vulnerabilities (e.g., data breaches, insufficient encryption).
   - Cross-platform compatibility issues (e.g., desktop, mobile, browsers).

### 3. **Design and Usability**
   - Poor user experience (UX) or unintuitive user interface (UI).
   - Inconsistent design language or branding.
   - Accessibility issues (non-compliance with WCAG or ADA standards).
   - Overly complex workflows or navigation.
   - Lack of responsiveness across devices (e.g., mobile vs. desktop).

### 4. **Development Process**
   - Inefficient or outdated development methodologies (e.g., no Agile/Scrum).
   - Poor code quality (e.g., lack of documentation, spaghetti code).
   - Insufficient testing (unit, integration, regression, etc.).
   - Over-reliance on third-party libraries or tools (e.g., licensing risks).
   - Team collaboration issues (e.g., communication gaps, skill mismatches).

### 5. **Testing and Quality Assurance**
   - Inadequate test coverage leading to undetected bugs.
   - Difficulty reproducing edge-case scenarios.
   - Lack of automated testing, slowing down releases.
   - Performance testing overlooked (e.g., stress, load testing).
   - Regression issues after updates or patches.

### 6. **Deployment and Maintenance**
   - Deployment failures (e.g., server crashes, configuration errors).
   - Downtime during updates or migrations.
   - Lack of rollback strategies in case of failures.
   - High technical debt making future updates difficult.
   - Insufficient monitoring or logging (e.g., undetected outages).

### 7. **Team and Resource Management**
   - Shortage of skilled developers or designers.
   - High turnover or burnout among team members"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Starting a new business.","Starting a new business is an exciting but complex endeavor that comes with numerous potential challenges and problems. Here are some common issues that may arise:

### **1. Financial Problems**  
- **Insufficient Capital:** Running out of money before the business becomes profitable.  
- **Cash Flow Issues:** Struggling to manage incoming and outgoing funds.  
- **High Initial Costs:** Unexpected expenses in setup, equipment, or inventory.  
- **Difficulty Securing Funding:** Rejection from investors, banks, or lenders.  

### **2. Market & Competitive Challenges**  
- **Lack of Market Demand:** Misjudging customer needs or market size.  
- **Strong Competition:** Established competitors with better resources.  
- **Pricing Pressures:** Inability to compete on price without losing profits.  

### **3. Operational & Logistical Issues**  
- **Supply Chain Disruptions:** Delays or shortages in materials.  
- **Inefficient Processes:** Poor workflow leading to wasted time/money.  
- **Scaling Problems:** Struggling to grow due to operational bottlenecks.  

### **4. Legal & Regulatory Hurdles**  
- **Compliance Issues:** Failing to meet industry regulations or tax laws.  
- **Intellectual Property Risks:** Copycats or legal disputes over trademarks.  
- **Contract Problems:** Poorly drafted agreements leading to disputes.  

### **5. Human Resources & Team Challenges**  
- **Hiring Difficulties:** Finding skilled and reliable employees.  
- **High Employee Turnover:** Losing talent due to poor culture or pay.  
- **Leadership Gaps:** Founders lacking management experience.  

### **6. Marketing & Customer Acquisition**  
- **Weak Brand Awareness:** Struggling to attract customers.  
- **Ineffective Marketing Strategies:** Wasting money on campaigns that don’t convert.  
- **Customer Retention Issues:** Failing to keep repeat buyers.  

### **7. Technology & Cybersecurity Risks**  
- **System Failures:** Website crashes, software bugs, or IT issues.  
- **Data Breaches:** Cyberattacks compromising customer information.  
- **Tech Obsolescence:** Falling behind competitors due to outdated tools.  

### **8. Personal & Work-Life Balance Struggles**  
- **Burnout:** Long hours leading to exhaustion and reduced productivity.  
- **Stress & Mental Health Issues:** Anxiety from financial or operational pressures.  
- **Lack of Work-Life Balance:** Neglecting"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Building a tree house.","Building a tree house can be a fun and rewarding project, but it also comes with several potential problems and challenges. Here are some common issues that may arise:  

### **1. Tree Selection & Health Issues**  
- **Unstable Tree:** The tree may not be strong enough to support the structure.  
- **Diseased or Weak Tree:** A rotting or insect-infested tree could collapse.  
- **Improper Tree Type:** Some trees (like willows or poplars) are too flexible or weak.  
- **Tree Growth:** The tree will continue growing, potentially warping or damaging the structure.  

### **2. Structural & Safety Concerns**  
- **Poor Foundation:** Weak attachments can cause the tree house to collapse.  
- **Overloading:** Too much weight can break branches or the entire tree.  
- **Falling Hazards:** Lack of railings or weak flooring can lead to injuries.  
- **Wind & Weather Damage:** High winds or storms may destabilize the structure.  

### **3. Legal & Permission Issues**  
- **Local Regulations:** Some areas require permits for tree houses.  
- **Property Lines:** Building too close to a neighbor’s yard could cause disputes.  
- **Homeowner Association (HOA) Rules:** Some neighborhoods ban tree houses.  

### **4. Construction Challenges**  
- **Difficulty in Access:** Hard-to-reach branches make construction dangerous.  
- **Unstable Work Platform:** Working at height without proper support is risky.  
- **Lack of Proper Tools/Experience:** Poor construction leads to safety hazards.  

### **5. Maintenance Problems**  
- **Weather Wear:** Rain, snow, and sun can rot or warp wood over time.  
- **Pest Infestations:** Termites, ants, or wasps may damage the structure.  
- **Tree Growth Adjustments:** Expanding bark can crush or warp nails and supports.  

### **6. Safety & Liability Risks**  
- **Child Safety:** Kids may climb unsafely or fall from heights.  
- **Insurance Issues:** Some policies don’t cover injuries from tree houses.  
- **Vandalism or Unauthorized Use:** Others might misuse or damage it.  

### **7. Environmental Impact**  
- **Harm to the Tree:** Over-nailing or improper cuts can kill the tree.  
- **Wildlife Disruption:** Birds or animals may be displaced.  

### **8. Cost & Resource Issues**  
"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Living on Mars.","Living on Mars presents numerous challenges and potential problems across various domains. Here are some key issues that may arise:  

### **1. Environmental Challenges**  
- **Extreme Temperatures** – Mars has an average temperature of -80°F (-62°C), requiring advanced heating systems.  
- **Thin Atmosphere** – The atmosphere is 96% CO₂ and lacks sufficient oxygen for humans to breathe.  
- **Radiation Exposure** – Mars lacks a strong magnetic field, exposing settlers to harmful cosmic and solar radiation.  
- **Dust Storms** – Severe global dust storms can last months, damaging equipment and reducing solar power efficiency.  

### **2. Life Support & Sustainability**  
- **Oxygen Production** – Reliance on artificial oxygen generation (e.g., MOXIE-like systems) or plants (with uncertain efficiency).  
- **Water Supply** – Limited accessible water (mostly ice), requiring extraction and recycling.  
- **Food Production** – Soil lacks nutrients; hydroponics/aeroponics may be necessary but require large energy inputs.  
- **Waste Management** – Recycling human waste efficiently without contamination risks.  

### **3. Psychological & Social Issues**  
- **Isolation & Confinement** – Long-term separation from Earth can lead to depression, anxiety, and interpersonal conflicts.  
- **Communication Delays** – Up to 22-minute lag in Earth-Mars communication, complicating real-time problem-solving.  
- **Group Dynamics** – Small, isolated groups may face leadership disputes or social tensions.  

### **4. Technological & Infrastructure Problems**  
- **Power Supply** – Solar energy may be unreliable (dust storms, distance from Sun); nuclear power may be needed.  
- **Equipment Failure** – Harsh conditions increase wear and tear; spare parts must be manufactured on-site.  
- **Transportation Limitations** – Limited resupply missions from Earth (high cost, infrequent launches).  
- **Construction Difficulties** – Building durable habitats (underground or shielded) with local materials is complex.  

### **5. Health & Medical Concerns**  
- **Low Gravity Effects** – Mars’ gravity (38% of Earth’s) may cause muscle atrophy, bone loss, and circulation issues.  
- **Medical Emergencies** – Limited medical facilities; emergency evacuations to Earth are nearly impossible.  
- **Toxic Soil (Perchlorates)** – Martian soil contains harmful chemicals, requiring decontamination for agriculture.  

"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Managing a team of remote employees.","Managing a team of remote employees presents several potential problems and challenges. Here are some key issues that may arise:

### 1. **Communication Barriers**  
   - Time zone differences can delay responses and collaboration.  
   - Lack of face-to-face interaction may lead to misunderstandings or miscommunication.  
   - Over-reliance on written communication (e.g., emails, chats) can cause tone misinterpretation.  

### 2. **Team Collaboration & Coordination**  
   - Difficulty in aligning schedules for real-time collaboration.  
   - Reduced spontaneous brainstorming or informal discussions.  
   - Challenges in tracking progress and dependencies across team members.  

### 3. **Employee Engagement & Morale**  
   - Feelings of isolation or disconnection from the team.  
   - Lack of visibility may lead to disengagement or reduced motivation.  
   - Harder to build team culture and camaraderie.  

### 4. **Performance Monitoring & Accountability**  
   - Difficulty in assessing productivity and work quality objectively.  
   - Risk of micromanagement if managers over-monitor remote employees.  
   - Employees may struggle with self-discipline and time management.  

### 5. **Technology & Infrastructure Issues**  
   - Unstable internet connections or inadequate tools hinder productivity.  
   - Security risks with remote access to company systems.  
   - Not all employees may have equal access to necessary software/hardware.  

### 6. **Work-Life Balance Challenges**  
   - Blurring boundaries between work and personal life can lead to burnout.  
   - Employees may feel pressured to be ""always available"" due to remote work flexibility.  

### 7. **Managerial Challenges**  
   - Leaders may struggle with adapting to remote leadership styles.  
   - Difficulty in providing timely feedback and coaching.  
   - Harder to recognize and reward employee contributions effectively.  

### 8. **Cultural & Language Differences (in global teams)**  
   - Misunderstandings due to cultural norms or language barriers.  
   - Different work expectations across regions may cause friction.  

### 9. **Onboarding & Training Difficulties**  
   - New hires may struggle to integrate into the team remotely.  
   - Limited hands-on training or mentorship opportunities.  

### 10. **Legal & Compliance Risks**  
   - Different labor laws and regulations across regions.  
   - Data privacy concerns (e.g., GDPR compliance for remote workers in different countries).  

### 11. **Trust & Transparency Issues**"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Implementing a new school curriculum.","Implementing a new school curriculum is a complex process that can encounter numerous challenges. Below is a list of potential problems or issues that may arise:

### **1. Resistance to Change**  
   - **Teachers**: May resist due to discomfort with new methods, lack of training, or skepticism about effectiveness.  
   - **Administrators**: May oppose due to budget constraints or logistical challenges.  
   - **Parents/Guardians**: May resist if they perceive the changes as unnecessary or harmful.  
   - **Students**: May struggle to adapt to new teaching styles or expectations.  

### **2. Insufficient Training & Professional Development**  
   - Teachers may not receive adequate training on the new curriculum.  
   - Ongoing support may be lacking, leading to inconsistent implementation.  
   - Trainers themselves may not be fully prepared to teach the new material.  

### **3. Resource & Funding Constraints**  
   - Lack of funding for new textbooks, technology, or materials.  
   - Schools may not have the infrastructure (e.g., updated labs, digital tools) to support the curriculum.  
   - Budget cuts may delay or weaken implementation.  

### **4. Curriculum Design Issues**  
   - The new curriculum may not align with state/national standards.  
   - Content may be too advanced or too basic for certain student groups.  
   - May lack cultural relevance or inclusivity.  
   - Overcrowded curriculum with too much content, leading to rushed teaching.  

### **5. Assessment & Evaluation Challenges**  
   - Standardized tests may not align with the new curriculum, causing confusion.  
   - Lack of clear benchmarks to measure success.  
   - Teachers may struggle to develop new grading rubrics.  

### **6. Equity & Accessibility Concerns**  
   - Disadvantaged schools may lack resources to implement changes effectively.  
   - Students with disabilities may not receive adequate accommodations.  
   - Non-native language speakers may face additional barriers.  

### **7. Communication Gaps**  
   - Poor communication between policymakers, administrators, teachers, and parents.  
   - Misinformation or lack of transparency about the changes.  
   - Failure to explain the benefits of the new curriculum to stakeholders.  

### **8. Time Constraints & Implementation Pace**  
   - Rushed rollout may lead to poor execution.  
   - Teachers may not have enough time to adapt lesson plans.  
   - Schools may struggle to phase out the old curriculum smoothly.  

### **9. Student Performance & Adjustment"
"Common Problems Task. In this task, you will be presented with a scenario or situation. Your job is to think about it and identify as many potential problems or issues that may arise in connection with each situation. The scenario is: Running a half marathon.","Running a half marathon (13.1 miles or 21.1 km) is a challenging but achievable goal for many runners. However, it comes with several potential problems or issues that participants may encounter. Here are some common ones:

### **Physical Problems:**
1. **Injury Risk** – Strains, sprains, shin splints, or stress fractures due to overtraining or improper form.  
2. **Dehydration** – Inadequate fluid intake leading to dizziness, cramps, or heat exhaustion.  
3. **Overhydration (Hyponatremia)** – Drinking too much water without electrolytes, causing low sodium levels.  
4. **Muscle Cramps** – Often due to electrolyte imbalances or fatigue.  
5. **Blisters & Chafing** – Caused by friction from shoes or clothing.  
6. **Heat Exhaustion or Heat Stroke** – Running in hot weather without proper acclimatization.  
7. **Hypothermia** – In cold or wet conditions, body temperature may drop dangerously.  
8. **Gastrointestinal Issues** – Stomach cramps, nausea, or diarrhea due to pre-race nutrition or hydration mistakes.  
9. **Joint Pain** – Knee, hip, or ankle pain from repetitive impact.  
10. **Foot Problems** – Plantar fasciitis, toenail bruising, or lost toenails.  

### **Training & Preparation Issues:**
11. **Overtraining** – Leading to burnout or injury before the race.  
12. **Undertraining** – Not being adequately prepared, increasing injury risk.  
13. **Poor Pacing Strategy** – Starting too fast and hitting ""the wall"" later.  
14. **Inadequate Nutrition** – Not fueling properly before or during the race.  
15. **Wrong Footwear** – Shoes that are worn out or not suited for long-distance running.  
16. **Lack of Tapering** – Not reducing training before the race, leading to fatigue.  
17. **Sleep Deprivation** – Poor rest affecting performance.  

### **Race-Day Problems:**
18. **Late Arrival** – Missing the start due to traffic or poor planning.  
19. **Gear Malfunctions** – Shoes coming untied, headphones dying, or hydration packs leaking.  
20. **Weather Issues** – Extreme heat, cold, rain, or wind affecting performance.  
21. **Crowded Course** – Difficulty maintaining pace"
